Rk,Player,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
1,Lamine Yamal,1486,10141,5270,181,96,95,102,49,1723,433,2856,2024-2025,17,es ESP,Barcelona,es La Liga,35,FW,82ec26c1
2,Alex Iwobi,1312,8012,4367,144,105,37,62,40,1447,246,2981,2024-2025,28,ng NGA,Fulham,eng Premier League,38,FWMF,6ca5ec4b
3,Michael Olise,1305,7418,3808,119,69,46,59,29,1556,381,2334,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,FWMF,c4486bac
4,Bernardo Silva,1288,8110,4045,101,65,32,25,34,1518,200,2670,2024-2025,29,pt POR,Manchester City,eng Premier League,33,MFFW,3eb22ec9
5,Florian Wirtz,1217,7053,3641,131,72,53,58,47,1638,309,2351,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,MFFW,e7fcf289
6,Mason Greenwood,1214,7040,3609,126,71,67,63,44,1451,295,2804,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,FWMF,58eee997
7,Andrea Cambiaso,1195,7318,3868,78,63,13,45,21,1364,122,2221,2024-2025,24,it ITA,Juventus,it Serie A,33,DFFW,247ed022
8,Himad Abdelli,1183,7595,4388,107,90,17,55,51,1446,111,2842,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,MFFW,7978cbf0
9,Cole Palmer,1173,7917,3804,120,76,41,71,37,1366,187,3191,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,MFFW,dc7f8a28
10,Mohamed Salah,1149,6973,3695,154,59,126,116,67,1407,488,3371,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,FW,e342ad68
11,Nicolás Paz,1093,6153,2878,77,62,16,101,45,1265,171,2687,2024-2025,19,ar ARG,Como,it Serie A,35,MFFW,01bb93d5
12,Bryan Mbeumo,1077,6721,3519,130,69,75,106,47,1204,351,3414,2024-2025,24,cm CMR,Brentford,eng Premier League,38,FW,6afaebf2
13,Mikkel Damsgaard,1075,5880,3075,73,54,9,63,47,1239,137,2911,2024-2025,24,dk DEN,Brentford,eng Premier League,38,MFFW,215f3907
14,Kylian Mbappé,1065,6987,3808,150,95,96,84,49,1355,386,2907,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,FW,42fd9c7f
15,Gabriel Strefezza,1033,5397,2707,80,42,33,49,53,1110,190,2619,2024-2025,27,br BRA,Como,it Serie A,37,FWMF,ac4a4508
16,Rayan Cherki,1021,6454,3610,106,91,41,48,43,1234,184,2041,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,FWMF,b34c63a5
17,Raphinha,1016,5592,2865,94,66,46,53,29,1316,349,2839,2024-2025,27,br BRA,Barcelona,es La Liga,36,FWMF,3423f250
18,Luis Henrique,1015,5423,2928,84,55,29,30,19,1282,280,2613,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,DFFW,f36d5624
19,Maghnes Akliouche,999,6581,3653,127,98,47,78,47,1149,226,2406,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,FWMF,b625b241
20,Antoine Semenyo,979,7353,3581,140,69,67,84,77,1140,282,3203,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,FW,efd2ec23
21,Antoine Griezmann,969,4095,2040,46,56,6,41,20,1255,177,2469,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,FWMF,df69b544
22,Kenan Yıldız,964,6159,3376,115,59,43,86,41,1116,223,2402,2024-2025,19,tr TUR,Juventus,it Serie A,35,FWMF,d8cda243
23,Tom Bischof,962,4689,2092,47,34,9,41,38,1146,102,2559,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,MFFW,07d3bfec
24,Vinicius Júnior,952,7763,4525,169,87,106,72,49,1059,256,2253,2024-2025,24,br BRA,Real Madrid,es La Liga,30,FW,7111d552
25,Alberto Moleiro,946,5912,3126,97,71,28,76,48,1097,179,2714,2024-2025,20,es ESP,Las Palmas,es La Liga,35,FWMF,c2c8897d
26,Vincenzo Grifo,939,4935,2516,58,35,21,36,17,1186,147,2432,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,FWMF,54e4866f
27,Andrej Kramarić,938,5047,2534,75,55,22,46,38,1153,202,2767,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,MFFW,603cb947
28,Lee Kang-in,938,4933,2194,50,45,18,22,26,1172,138,1663,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,FWMF,8455ad90
29,Lucas Paquetá,921,3358,1416,26,34,2,54,51,1268,85,2380,2024-2025,26,br BRA,West Ham,eng Premier League,33,MFFW,9b6f7fd5
30,Matteo Politano,920,6414,3264,135,57,38,47,24,1137,278,2804,2024-2025,30,it ITA,Napoli,it Serie A,37,FWMF,5e861944
31,Sergi Darder,911,5026,2211,37,58,7,36,30,1030,83,2744,2024-2025,30,es ESP,Mallorca,es La Liga,38,MFFW,070a3904
32,Mattia Zaccagni,911,6501,3083,91,63,27,49,40,1084,264,2686,2024-2025,29,it ITA,Lazio,it Serie A,34,FW,d85c238b
33,Matheus Cunha,904,6724,3336,112,95,41,80,55,1056,161,2597,2024-2025,25,br BRA,Wolves,eng Premier League,33,MFFW,dc62b55d
34,Désiré Doué,899,5730,3076,97,50,47,54,37,1164,232,1730,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,FWMF,9e7483ff
35,Alex Baena,895,5493,3201,91,93,15,42,32,1044,154,2595,2024-2025,23,es ESP,Villarreal,es La Liga,32,MFFW,518f2234
36,Dodi Lukebakio,889,6488,3565,131,83,65,117,57,1110,247,3092,2024-2025,26,be BEL,Sevilla,es La Liga,38,FW,0c61c77c
37,Rodrygo,889,5906,3404,113,87,50,47,15,1068,253,1928,2024-2025,23,br BRA,Real Madrid,es La Liga,30,FWMF,8f5e92a6
38,Pep Chavarría,887,4265,2300,59,34,6,39,6,1053,133,2585,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,DFFW,63c5e56b
39,Takefusa Kubo,878,6399,3647,133,63,57,89,48,988,218,2372,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,MFFW,16aa3654
40,Ousmane Dembélé,878,6064,3447,127,87,66,41,32,1127,252,1730,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,FW,b19db005
41,Keane Lewis-Potter,867,6085,3211,98,69,35,51,20,965,156,3093,2024-2025,23,eng ENG,Brentford,eng Premier League,38,DFFW,41f08ac8
42,Christian Pulisic,859,6117,3406,121,75,37,57,40,985,191,2478,2024-2025,25,us USA,Milan,it Serie A,34,FWMF,1bf33a9a
43,Bradley Barcola,855,5835,3505,137,65,95,64,20,1019,374,2181,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,FW,a0d55a09
44,Khvicha Kvaratskhelia,849,6239,3429,124,88,65,44,46,1026,220,2094,2024-2025,23,ge GEO,2 Teams,2 Comps,31,FWMF,dea88efd
45,Enzo Millot,848,4659,1826,44,34,12,46,36,1067,123,1843,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,MFFW,f76022e7
46,Eliesse Ben Seghir,843,5569,3024,85,83,25,59,35,988,170,1750,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,MFFW,3bd65247
47,Mohammed Kudus,842,5574,2613,98,59,42,77,93,989,216,2590,2024-2025,23,gh GHA,West Ham,eng Premier League,32,FWMF,b62878a5
48,Alejandro Garnacho,840,6365,3245,141,72,67,64,48,888,290,2199,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,MFFW,7aa8adfe
49,Eberechi Eze,840,5067,2379,68,48,22,55,45,907,153,2588,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,MFFW,ae4fc6a4
50,Junya Ito,837,5599,2986,100,74,25,85,39,1034,256,2690,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,FWMF,dbd3a428
51,Charles De Ketelaere,832,5658,3023,108,75,41,52,50,1008,211,2070,2024-2025,23,be BEL,Atalanta,it Serie A,36,MFFW,2ef7c612
52,Kaoru Mitoma,830,6659,3906,146,82,56,53,23,966,291,2603,2024-2025,27,jp JPN,Brighton,eng Premier League,36,FWMF,74618572
53,Leandro Trossard,828,5024,2218,80,55,30,66,52,956,226,2546,2024-2025,29,be BEL,Arsenal,eng Premier League,38,FW,38ceb24a
54,Mahdi Camara,828,4647,2478,58,40,14,38,28,999,112,2659,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,MFFW,8577e60a
55,Ademola Lookman,827,5454,3170,142,70,81,72,51,974,316,2247,2024-2025,26,ng NGA,Atalanta,it Serie A,31,MFFW,7c104bb7
56,Ritsu Doan,827,4440,2089,64,54,26,58,62,1031,178,2862,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,FWMF,d01bbb6f
