Rk,Player,GCA,PassLive,PassDead,TO,Sh,Fld,Def_GCA,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
1,Lamine Yamal,29,20,0,5,2,2,0,2867,2024-2025,17,es ESP,Barcelona,es La Liga,35,FW,82ec26c1
2,Mohamed Salah,27,20,0,5,2,0,0,3380,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,FW,e342ad68
3,Florian Wirtz,26,18,0,4,3,1,0,2359,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,MFFW,e7fcf289
4,Michael Olise,25,13,3,2,3,4,0,2352,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,FWMF,c4486bac
5,Désiré Doué,24,15,0,4,1,3,1,1743,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,FWMF,9e7483ff
6,Omar Marmoush,23,8,3,6,3,3,0,2640,2024-2025,25,eg EGY,2 Teams,2 Comps,33,FWMF,0e0102eb
7,Bukayo Saka,23,14,5,2,1,1,0,1741,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,FWMF,bc7dc64d
8,Raphinha,22,11,2,4,2,2,1,2848,2024-2025,27,br BRA,Barcelona,es La Liga,36,FWMF,3423f250
9,Mikkel Damsgaard,21,15,3,1,0,1,1,2934,2024-2025,24,dk DEN,Brentford,eng Premier League,38,MFFW,215f3907
10,Harry Kane,21,12,0,2,4,3,0,2394,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,FW,21a66f6a
11,Alex Baena,21,17,2,1,0,1,0,2609,2024-2025,23,es ESP,Villarreal,es La Liga,32,MFFW,518f2234
12,Lassine Sinayoko,20,11,0,4,1,4,0,2315,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,FWMF,5e5249c8
13,Bryan Mbeumo,20,11,3,2,3,1,0,3417,2024-2025,24,cm CMR,Brentford,eng Premier League,38,FW,6afaebf2
14,Bradley Barcola,20,17,0,1,2,0,0,2200,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,FW,a0d55a09
15,Rayan Cherki,20,15,2,1,2,0,0,2055,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,FWMF,b34c63a5
16,Mason Greenwood,19,15,0,1,2,1,0,2820,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,FWMF,58eee997
17,Maghnes Akliouche,19,17,0,0,2,0,0,2413,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,FWMF,b625b241
18,Gaëtan Perrin,18,8,7,2,0,1,0,2710,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,MFFW,10dd88f9
19,Anthony Elanga,18,10,4,1,0,3,0,2516,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,FWMF,2fba6108
20,Vinicius Júnior,18,11,0,5,0,2,0,2264,2024-2025,24,br BRA,Real Madrid,es La Liga,30,FW,7111d552
21,Amad Diallo,18,7,0,4,1,2,4,1907,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,MFFW,9dc96f10
22,Evann Guessand,17,10,0,3,2,1,1,2578,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,FWMF,b73f17f8
23,Sebastian Nanasi,17,11,4,0,2,0,0,2129,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,MFFW,ce747d2a
24,Nicolás Paz,16,14,0,2,0,0,0,2700,2024-2025,19,ar ARG,Como,it Serie A,35,MFFW,01bb93d5
25,Rafael Leão,16,10,0,3,1,2,0,2335,2024-2025,25,pt POR,Milan,it Serie A,34,FW,20730eae
26,Morgan Rogers,16,14,0,1,0,1,0,3132,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,FWMF,2e5915f1
27,Luis Díaz,16,13,0,1,0,2,0,2420,2024-2025,27,co COL,Liverpool,eng Premier League,36,FW,4a1a9578
28,Romelu Lukaku,16,15,0,1,0,0,0,2872,2024-2025,31,be BEL,Napoli,it Serie A,36,FW,5eae500a
29,Ludovic Blas,16,7,4,1,1,2,1,2304,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,MFFW,6191093d
30,Alex Iwobi,16,13,0,2,1,0,0,3001,2024-2025,28,ng NGA,Fulham,eng Premier League,38,FWMF,6ca5ec4b
31,Marcus Thuram,16,10,0,2,1,3,0,2304,2024-2025,26,fr FRA,Inter,it Serie A,32,FW,6f8cd6d0
32,Ritsu Doan,16,11,1,1,1,1,1,2877,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,FWMF,d01bbb6f
33,Matheus Cunha,16,10,0,4,0,1,1,2606,2024-2025,25,br BRA,Wolves,eng Premier League,33,MFFW,dc62b55d
34,Julián Álvarez,15,10,1,0,3,0,1,2526,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,FW,15ab5a2b
35,Kylian Mbappé,15,8,1,2,3,1,0,2918,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,FW,42fd9c7f
36,Vincenzo Grifo,15,10,4,1,0,0,0,2457,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,FWMF,54e4866f
