Rk,Player,Cmp_Total,Att_Total,Cmp%_Total,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Progressive_Passes,Total_Distance,Progressive_Distance,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
1,Bernardo Silva,1547,1783,0.868,53,87,40,7,134,23646,4501,877,949,0.924,554,634,0.8740000000000001,82,124,0.6609999999999999,2671,2024-2025,29,pt POR,Manchester City,eng Premier League,33,MFFW,3eb22ec9
2,Andrea Cambiaso,1476,1667,0.885,34,82,31,9,111,24469,5281,732,779,0.94,598,657,0.91,112,150,0.747,2230,2024-2025,24,it ITA,Juventus,it Serie A,33,DFFW,247ed022
3,Himad Abdelli,1373,1672,0.821,39,171,38,3,207,21646,6031,710,807,0.88,531,612,0.868,82,151,0.5429999999999999,2849,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,MFFW,7978cbf0
4,Florian Wirtz,1370,1749,0.7829999999999999,57,96,65,8,176,18566,5171,870,993,0.8759999999999999,369,497,0.742,69,133,0.519,2359,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,MFFW,e7fcf289
5,Michael Olise,1290,1585,0.8140000000000001,90,89,111,13,184,19018,5660,809,881,0.918,397,474,0.838,67,143,0.469,2352,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,FWMF,c4486bac
6,Pep Chavarría,1244,1561,0.797,24,75,27,10,114,19853,6873,659,739,0.892,477,582,0.82,85,162,0.525,2589,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,DFFW,63c5e56b
7,Tom Bischof,1210,1537,0.787,50,110,39,10,138,20642,6105,580,654,0.887,447,529,0.845,136,240,0.5670000000000001,2570,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,MFFW,07d3bfec
8,Vincenzo Grifo,1173,1529,0.767,66,104,48,10,128,20566,5422,542,601,0.902,470,562,0.836,128,279,0.4589999999999999,2457,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,FWMF,54e4866f
9,Lamine Yamal,1161,1553,0.748,64,78,95,16,160,16208,4559,727,843,0.862,327,448,0.73,56,125,0.4479999999999999,2867,2024-2025,17,es ESP,Barcelona,es La Liga,35,FW,82ec26c1
10,Luis Henrique,1156,1427,0.81,53,95,47,20,143,17828,5190,640,728,0.879,420,505,0.8320000000000001,70,123,0.569,2625,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,DFFW,f36d5624
11,Alex Iwobi,1150,1532,0.7509999999999999,59,115,86,19,213,19530,5723,582,671,0.867,448,574,0.78,98,184,0.5329999999999999,3001,2024-2025,28,ng NGA,Fulham,eng Premier League,38,FWMF,6ca5ec4b
12,Cole Palmer,1140,1480,0.77,87,163,64,17,214,21582,5611,470,546,0.861,470,555,0.847,173,289,0.599,3201,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,MFFW,dc7f8a28
13,Lucas Paquetá,1126,1456,0.773,36,132,44,4,155,18683,6014,590,700,0.843,389,494,0.787,119,184,0.647,2390,2024-2025,26,br BRA,West Ham,eng Premier League,33,MFFW,9b6f7fd5
14,Lee Kang-in,1110,1268,0.875,56,103,43,7,143,17230,4215,617,655,0.942,352,393,0.8959999999999999,97,148,0.655,1677,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,FWMF,8455ad90
