Rk,Player,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
1,Patrik Schick,68,0.29,0.63,32,0.471,11.8,0,1695,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,FW,5d4f7d61
2,Lucas Stassin,44,0.27,0.52,23,0.523,14.1,0,1900,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,FW,a47d6f3a
3,Chris Wood,65,0.26,0.53,32,0.492,13.5,0,2980,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,FW,4e9a0555
4,Jørgen Strand Larsen,54,0.26,0.42,33,0.611,11.3,0,2606,2024-2025,24,no NOR,Wolves,eng Premier League,35,FW,f553b2b3
5,Ayoze Pérez,75,0.25,0.61,31,0.413,14.2,0,1982,2024-2025,31,es ESP,Villarreal,es La Liga,30,FW,819aa8e7
6,Ludovic Ajorque,53,0.25,0.52,25,0.472,12.1,0,2508,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,FW,462475ed
7,Alexander Sørloth,78,0.24,0.48,40,0.513,12.0,0,1578,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,FW,e92cd3f7
8,Borja Iglesias,46,0.24,0.39,28,0.609,13.4,0,1975,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,FW,75645f0e
9,Jonathan Burkardt,70,0.23,0.57,28,0.4,13.6,0,2127,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,FW,05f99a4a
10,Ermedin Demirović,64,0.23,0.56,27,0.422,11.3,0,1869,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,FW,ed79b7d3
11,Emanuel Emegha,61,0.23,0.4,35,0.574,12.5,0,2307,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,FW,a0c590b9
12,Robert Lewandowski,111,0.22,0.53,45,0.405,13.2,5,2684,2024-2025,35,pl POL,Barcelona,es La Liga,34,FW,8d78e732
13,Marcus Thuram,65,0.22,0.52,27,0.415,13.1,0,2304,2024-2025,26,fr FRA,Inter,it Serie A,32,FW,6f8cd6d0
14,Nick Woltemade,46,0.22,0.43,23,0.5,12.3,0,1629,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,FWMF,7ca196eb
15,Mateo Retegui,99,0.21,0.66,32,0.3229999999999999,12.8,2,2408,2024-2025,25,it ITA,Atalanta,it Serie A,36,FW,e7695e6c
16,Ousmane Dembélé,96,0.21,0.41,49,0.51,16.0,0,1745,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,FW,b19db005
17,Yoane Wissa,90,0.21,0.46,41,0.456,13.2,0,2930,2024-2025,27,cd COD,Brentford,eng Premier League,35,FW,2500cef9
18,Serhou Guirassy,86,0.21,0.55,33,0.384,12.1,1,2603,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,FW,923f4dda
19,Tim Kleindienst,73,0.21,0.42,36,0.493,12.9,0,2744,2024-2025,28,de GER,Gladbach,de Bundesliga,31,FW,258a6f4d
20,Hugo Duro,48,0.21,0.63,16,0.3329999999999999,11.1,1,2177,2024-2025,24,es ESP,Valencia,es La Liga,31,FW,37e103f8
21,Ferrán Torres,48,0.21,0.45,22,0.4579999999999999,14.6,2,1115,2024-2025,24,es ESP,Barcelona,es La Liga,27,FWMF,9e1035f8
22,Alexander Isak,95,0.2,0.46,41,0.432,14.5,3,2774,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,FW,8e92be30
23,Kevin Schade,55,0.2,0.41,27,0.491,11.5,0,2313,2024-2025,22,de GER,Brentford,eng Premier League,38,FW,52afb588
