Rk,Player,Att,Succ,Succ%,Tkld,Tkld%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
1,Lamine Yamal,316,161,50.9,128,40.5,2856,2024-2025,17,es ESP,Barcelona,es La Liga,35,FW,82ec26c1
2,Mohammed Kudus,208,92,44.2,98,47.1,2590,2024-2025,23,gh GHA,West Ham,eng Premier League,32,FWMF,b62878a5
3,Jeremy Doku,201,107,53.2,60,29.9,1516,2024-2025,22,be BEL,Manchester City,eng Premier League,29,FWMF,fffea3e5
4,Vinicius Júnior,191,82,42.9,95,49.7,2253,2024-2025,24,br BRA,Real Madrid,es La Liga,30,FW,7111d552
5,Kylian Mbappé,187,83,44.4,91,48.7,2907,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,FW,42fd9c7f
6,Nico Williams,187,68,36.4,104,55.6,1996,2024-2025,22,es ESP,Athletic Club,es La Liga,29,FW,afdc14d7
7,Jamie Gittens,171,77,45.0,72,42.1,1776,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,FWMF,10745192
8,Dodi Lukebakio,167,84,50.3,75,44.9,3092,2024-2025,26,be BEL,Sevilla,es La Liga,38,FW,0c61c77c
9,Florian Wirtz,167,82,49.1,79,47.3,2351,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,MFFW,e7fcf289
10,Morgan Rogers,160,66,41.3,74,46.3,3114,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,FWMF,2e5915f1
11,Takefusa Kubo,157,75,47.8,66,42.0,2372,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,MFFW,16aa3654
12,Michael Olise,151,72,47.7,60,39.7,2334,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,FWMF,c4486bac
13,Alberto Moleiro,150,64,42.7,78,52.0,2714,2024-2025,20,es ESP,Las Palmas,es La Liga,35,FWMF,c2c8897d
14,Omar Marmoush,147,66,44.9,67,45.6,2623,2024-2025,25,eg EGY,2 Teams,2 Comps,33,FWMF,0e0102eb
15,Moses Simon,147,65,44.2,77,52.4,2609,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,FWMF,5f3eaaf5
16,Iliman Ndiaye,143,68,47.6,64,44.8,2430,2024-2025,24,sn SEN,Everton,eng Premier League,33,FW,5ed97752
17,Bradley Barcola,137,34,24.8,94,68.6,2181,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,FW,a0d55a09
18,Eberechi Eze,137,67,48.9,62,45.3,2588,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,MFFW,ae4fc6a4
19,Omari Hutchinson,137,51,37.2,68,49.6,2583,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,MFFW,bd9553e6
20,Matheus Cunha,137,61,44.5,61,44.5,2597,2024-2025,25,br BRA,Wolves,eng Premier League,33,MFFW,dc62b55d
21,Mohamed Salah,137,58,42.3,72,52.6,3371,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,FW,e342ad68
22,Nicolás Paz,135,69,51.1,58,43.0,2687,2024-2025,19,ar ARG,Como,it Serie A,35,MFFW,01bb93d5
23,Antoine Semenyo,135,69,51.1,57,42.2,3203,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,FW,efd2ec23
24,Raúl Moro,132,57,43.2,67,50.8,2341,2024-2025,21,es ESP,Valladolid,es La Liga,33,MFFW,919dd4b1
25,Kaoru Mitoma,131,52,39.7,74,56.5,2603,2024-2025,27,jp JPN,Brighton,eng Premier League,36,FWMF,74618572
26,Bryan Zaragoza,131,57,43.5,67,51.1,1836,2024-2025,23,es ESP,Osasuna,es La Liga,27,FWMF,a96103b2
27,Jarrod Bowen,130,44,33.8,76,58.5,2973,2024-2025,27,eng ENG,West Ham,eng Premier League,34,FWMF,79c84d1c
28,Rafael Leão,129,59,45.7,59,45.7,2323,2024-2025,25,pt POR,Milan,it Serie A,34,FW,20730eae
29,Mason Greenwood,129,54,41.9,66,51.2,2804,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,FWMF,58eee997
30,Désiré Doué,129,57,44.2,61,47.3,1730,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,FWMF,9e7483ff
31,Gaëtan Perrin,127,60,47.2,62,48.8,2691,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,MFFW,10dd88f9
32,Ritsu Doan,127,56,44.1,59,46.5,2862,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,FWMF,d01bbb6f
