Rk,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
1,Florian Wirtz,2096,10,129,814,1177,137,2092,2351,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,MFFW,e7fcf289
2,Lamine Yamal,2094,9,104,667,1364,226,2094,2856,2024-2025,17,es ESP,Barcelona,es La Liga,35,FW,82ec26c1
3,Bernardo Silva,2054,50,355,843,876,141,2054,2670,2024-2025,29,pt POR,Manchester City,eng Premier League,33,MFFW,3eb22ec9
4,Himad Abdelli,1993,38,293,1149,597,49,1989,2842,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,MFFW,7978cbf0
5,Michael Olise,1957,18,107,665,1208,148,1957,2334,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,FWMF,c4486bac
6,Tom Bischof,1951,76,376,957,634,46,1951,2559,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,MFFW,07d3bfec
7,Andrea Cambiaso,1911,55,474,939,517,42,1911,2221,2024-2025,24,it ITA,Juventus,it Serie A,33,DFFW,247ed022
8,Pep Chavarría,1884,93,602,801,500,31,1884,2585,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,DFFW,63c5e56b
9,Mikkel Damsgaard,1882,36,331,863,712,76,1882,2911,2024-2025,24,dk DEN,Brentford,eng Premier League,38,MFFW,215f3907
10,Raphinha,1863,31,114,661,1113,183,1861,2839,2024-2025,27,br BRA,Barcelona,es La Liga,36,FWMF,3423f250
11,Alex Iwobi,1861,33,244,748,895,116,1861,2981,2024-2025,28,ng NGA,Fulham,eng Premier League,38,FWMF,6ca5ec4b
12,Cole Palmer,1851,23,150,824,901,144,1846,3191,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,MFFW,dc7f8a28
13,Lucas Paquetá,1796,62,367,989,454,59,1794,2380,2024-2025,26,br BRA,West Ham,eng Premier League,33,MFFW,9b6f7fd5
14,Bryan Mbeumo,1781,62,246,567,998,168,1775,3414,2024-2025,24,cm CMR,Brentford,eng Premier League,38,FW,6afaebf2
15,Vincenzo Grifo,1768,35,240,921,618,71,1765,2432,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,FWMF,54e4866f
16,Mason Greenwood,1746,4,107,726,929,151,1737,2804,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,FWMF,58eee997
