,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,GCA,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Pos,-9999
1,Lamine Yamal,29,2867,2024-2025,17,es ESP,Barcelona,es La Liga,35,2867,31.9,31,4,0,9,13,22,9,0,0,0,29,20,0,5,2,2,0,FW,82ec26c1
2,Mohamed Salah,27,3380,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,3380,37.6,38,0,0,29,18,47,20,9,9,0,27,20,0,5,2,0,0,FW,e342ad68
3,Florian Wirtz,26,2359,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,2359,26.2,25,6,0,10,12,22,8,2,4,2,26,18,0,4,3,1,0,MFFW,e7fcf289
4,Michael Olise,25,2352,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,2352,26.1,28,6,0,12,15,27,12,0,0,0,25,13,3,2,3,4,0,FWMF,c4486bac
5,Désiré Doué,24,1743,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,1743,19.4,18,13,1,6,6,12,6,0,0,0,24,15,0,4,1,3,1,FWMF,9e7483ff
6,Omar Marmoush,23,2640,2024-2025,25,eg EGY,2 Teams,2 Comps,33,2640,29.3,31,2,0,22,9,31,20,2,2,0,23,8,3,6,3,3,0,FWMF,0e0102eb
7,Bukayo Saka,23,1741,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,1741,19.3,20,5,0,6,10,16,5,1,1,0,23,14,5,2,1,1,0,FWMF,bc7dc64d
8,Raphinha,22,2848,2024-2025,27,br BRA,Barcelona,es La Liga,36,2848,31.6,32,4,1,18,9,27,16,2,2,0,22,11,2,4,2,2,1,FWMF,3423f250
9,Mikkel Damsgaard,21,2934,2024-2025,24,dk DEN,Brentford,eng Premier League,38,2934,32.6,34,4,0,2,10,12,2,0,0,0,21,15,3,1,0,1,1,MFFW,215f3907
10,Harry Kane,21,2394,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2394,26.6,28,3,0,26,9,35,17,9,9,0,21,12,0,2,4,3,0,FW,21a66f6a
11,Alex Baena,21,2609,2024-2025,23,es ESP,Villarreal,es La Liga,32,2609,29.0,30,2,0,7,9,16,7,0,1,1,21,17,2,1,0,1,0,MFFW,518f2234
12,Lassine Sinayoko,20,2315,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,2315,25.7,25,9,0,5,8,13,4,1,1,0,20,11,0,4,1,4,0,FWMF,5e5249c8
13,Bryan Mbeumo,20,3417,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3417,38.0,38,0,0,20,7,27,15,5,6,1,20,11,3,2,3,1,0,FW,6afaebf2
14,Bradley Barcola,20,2200,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,2200,24.4,27,7,0,14,10,24,14,0,0,0,20,17,0,1,2,0,0,FW,a0d55a09
15,Rayan Cherki,20,2055,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,2055,22.8,22,8,0,8,11,19,8,0,0,0,20,15,2,1,2,0,0,FWMF,b34c63a5
16,Mason Greenwood,19,2820,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,2820,31.3,32,2,0,21,5,26,14,7,9,2,19,15,0,1,2,1,0,FWMF,58eee997
17,Maghnes Akliouche,19,2413,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,2413,26.8,27,5,0,5,10,15,4,1,1,0,19,17,0,0,2,0,0,FWMF,b625b241
18,Gaëtan Perrin,18,2710,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,2710,30.1,31,3,0,10,11,21,10,0,0,0,18,8,7,2,0,1,0,MFFW,10dd88f9
19,Anthony Elanga,18,2516,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,2516,28.0,31,7,0,6,11,17,6,0,0,0,18,10,4,1,0,3,0,FWMF,2fba6108
