,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
1,Denzel Dumfries,76.0,1955,2024-2025,28,nl NED,Inter,it Serie A,29,1955,21.7,20,9,4,7,2,9,7,0,0,0,57,18,76.0,DFFW,481c9ece
2,Alexis Saelemaekers,72.7,1479,2024-2025,25,be BEL,2 Teams,it Serie A,23,1479,16.4,18,5,5,7,3,10,7,0,0,0,8,3,72.7,DFFW,ee251371
3,Milan Đurić,72.0,1538,2024-2025,34,ba BIH,2 Teams,it Serie A,27,1538,17.1,16,11,3,5,1,6,5,0,0,0,167,65,72.0,FW,405f6586
4,Thierno Barry,67.3,2323,2024-2025,21,fr FRA,Villarreal,es La Liga,35,2323,25.8,25,10,0,11,4,15,10,1,1,0,99,48,67.3,FW,52c3244b
5,Antoine Hainaut,67.3,1206,2024-2025,22,fr FRA,Parma,it Serie A,25,1206,13.4,10,15,12,2,0,2,2,0,0,0,33,16,67.3,DFFW,6503f220
6,Bradley Barcola,66.7,2181,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,2181,24.2,27,7,0,14,10,24,14,0,0,0,14,7,66.7,FW,a0d55a09
7,Alexander Sørloth,66.2,1566,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1566,17.4,15,20,2,20,2,22,19,1,1,0,98,50,66.2,FW,e92cd3f7
8,Giuseppe Pezzella,65.5,2878,2024-2025,26,it ITA,Empoli,it Serie A,35,2878,32.0,34,1,2,0,3,3,0,0,0,0,36,19,65.5,DFFW,149c5f5d
9,Christopher Operi,64.7,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,1169,13.0,13,0,0,0,2,2,0,0,0,0,11,6,64.7,DFFW,914bb955
10,Christian Kouamé,64.2,1129,2024-2025,26,ci CIV,2 Teams,it Serie A,26,1129,12.5,10,16,3,1,1,2,1,0,0,0,77,43,64.2,FWMF,58e933d2
11,Adama Boiro,64.0,1101,2024-2025,22,es ESP,Athletic Club,es La Liga,18,1101,12.2,13,5,18,0,0,0,0,0,0,0,16,9,64.0,DFFW,e7992f7b
12,Simon Adingra,63.6,1097,2024-2025,22,ci CIV,Brighton,eng Premier League,29,1097,12.2,12,17,6,2,2,4,2,0,0,0,7,4,63.6,FWMF,4dcec659
13,Florian Sotoca,62.3,1794,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,1794,19.9,22,9,0,1,1,2,1,0,0,0,43,26,62.3,FWMF,7a42d0df
14,Tete Morente,61.7,2021,2024-2025,27,es ESP,Lecce,it Serie A,31,2021,22.5,23,8,5,3,2,5,3,0,0,0,37,23,61.7,FWMF,004d185e
15,Paul Onuachu,61.2,1050,2024-2025,30,ng NGA,Southampton,eng Premier League,25,1050,11.7,11,14,3,4,1,5,4,0,0,0,93,59,61.2,FW,c06d1086
16,Juanmi Latasa,60.8,1398,2024-2025,23,es ESP,Valladolid,es La Liga,28,1398,15.5,14,14,3,3,0,3,3,0,0,0,90,58,60.8,FW,2bea832e
17,Jamie Leweling,60.0,1663,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,1663,18.5,22,5,0,2,2,4,2,0,0,0,6,4,60.0,MFFW,13fe7b69
18,Issa Soumaré,60.0,1902,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,1902,21.1,21,8,1,5,4,9,5,0,0,0,84,56,60.0,FWMF,1d8aa290
19,Raphinha,60.0,2839,2024-2025,27,br BRA,Barcelona,es La Liga,36,2839,31.5,32,4,1,18,9,27,16,2,2,0,9,6,60.0,FWMF,3423f250
20,Iñaki Williams,60.0,2652,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,2652,29.5,29,6,0,6,8,14,6,0,0,0,30,20,60.0,FW,6a99e0b1
21,Khalil Fayad,60.0,1028,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,20,1028,11.4,10,10,1,0,0,0,0,0,0,0,9,6,60.0,MFFW,faf00ab8
22,Patrick Dorgu,59.6,1840,2024-2025,19,dk DEN,Lecce,it Serie A,21,1840,20.4,21,0,1,3,1,4,3,0,0,0,31,21,59.6,DFFW,e6536124
23,Victor Boniface,59.3,1008,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,1008,11.2,12,7,5,8,1,9,8,0,1,1,32,22,59.3,FW,b146275b
24,Harry Kane,59.2,2381,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2381,26.5,28,3,0,26,9,35,17,9,9,0,29,20,59.2,FW,21a66f6a
25,Adrian Beck,59.2,1598,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,1598,17.8,18,14,1,4,1,5,4,0,0,0,29,20,59.2,MFFW,616c09f5
26,Benjamin Šeško,58.8,2380,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,2380,26.4,30,3,0,13,5,18,11,2,2,0,70,49,58.8,FWMF,3260690c
27,John McGinn,58.6,2223,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,2223,24.7,27,7,0,1,4,5,1,0,0,0,17,12,58.6,MFFW,90f91999
28,Vedat Muriqi,57.9,2058,2024-2025,30,xk KVX,Mallorca,es La Liga,29,2058,22.9,24,5,0,7,2,9,5,2,3,1,135,98,57.9,FW,0cadc46d
29,Lilian Raolisoa,57.7,1318,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,1318,14.6,14,15,1,0,3,3,0,0,0,0,15,11,57.7,DFFW,79a793b7
30,Nicolás Paz,57.4,2687,2024-2025,19,ar ARG,Como,it Serie A,35,2687,29.9,30,5,1,6,8,14,6,0,1,1,31,23,57.4,MFFW,01bb93d5
31,Yaser Asprilla,57.1,1405,2024-2025,20,co COL,Girona,es La Liga,27,1405,15.6,15,12,3,3,1,4,3,0,0,0,4,3,57.1,FWMF,d139daf9
32,Gonçalo Ramos,57.1,1066,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,1066,11.8,12,10,0,10,3,13,8,2,3,1,20,15,57.1,FW,f63cda26
33,Marcus Thuram,57.0,2290,2024-2025,26,fr FRA,Inter,it Serie A,32,2290,25.4,27,5,3,14,4,18,14,0,0,0,45,34,57.0,FW,6f8cd6d0
34,Ademola Lookman,56.7,2247,2024-2025,26,ng NGA,Atalanta,it Serie A,31,2247,25.0,28,3,2,15,5,20,14,1,1,0,17,13,56.7,MFFW,7c104bb7
35,Lucas Höler,56.7,1867,2024-2025,30,de GER,Freiburg,de Bundesliga,31,1867,20.7,21,10,2,6,4,10,6,0,1,1,80,61,56.7,FWMF,ca618d23
36,Philipp Hofmann,56.6,2277,2024-2025,31,de GER,Bochum,de Bundesliga,32,2277,25.3,27,5,0,3,3,6,3,0,0,0,164,126,56.6,FW,877bc844
37,Sergi Darder,56.5,2744,2024-2025,30,es ESP,Mallorca,es La Liga,38,2744,30.5,34,4,0,2,6,8,2,0,0,0,13,10,56.5,MFFW,070a3904
38,Rafael Leão,56.5,2323,2024-2025,25,pt POR,Milan,it Serie A,34,2323,25.8,25,9,2,8,8,16,8,0,0,0,26,20,56.5,FW,20730eae
39,Cristhian Stuani,56.4,1078,2024-2025,37,uy URU,Girona,es La Liga,32,1078,12.0,6,26,6,11,2,13,8,3,3,0,22,17,56.4,FW,220c11f1
40,Joelinton,56.2,2393,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,2393,26.6,29,0,0,4,3,7,4,0,0,0,59,46,56.2,MFFW,c17bfb65
41,Carles Aleñá,55.9,1542,2024-2025,26,es ESP,2 Teams,es La Liga,24,1542,17.1,18,6,8,0,2,2,0,0,0,0,19,15,55.9,MFFW,6c811eb7
42,Loïc Nego,55.9,2459,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,2459,27.3,28,3,3,0,0,0,0,0,0,0,19,15,55.9,DFFW,c3b6fa1e
43,Marshall Munetsi,55.8,1078,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,1078,12.0,12,2,0,2,1,3,2,0,0,0,29,23,55.8,MFFW,2acf0cd7
44,Nicolás González,55.7,1750,2024-2025,26,ar ARG,Juventus,it Serie A,26,1750,19.4,23,3,1,3,2,5,3,0,0,0,59,47,55.7,FWMF,2374aaca
45,Tim Kleindienst,54.8,2737,2024-2025,28,de GER,Gladbach,de Bundesliga,31,2737,30.4,31,0,0,16,7,23,15,1,2,1,149,123,54.8,FW,258a6f4d
46,Riccardo Orsolini,54.8,1878,2024-2025,27,it ITA,Bologna,it Serie A,30,1878,20.9,23,7,3,15,4,19,12,3,3,0,23,19,54.8,FW,e14ec482
