,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
1,Bernardo Silva,1547,2671,2024-2025,29,pt POR,Manchester City,eng Premier League,33,2671,29.7,29,4,5,4,4,8,4,0,0,0,1547,1783,86.8,53,87,40,7,134,23646,4501,877,949,92.4,554,634,87.4,82,124,66.1,MFFW,3eb22ec9
2,Andrea Cambiaso,1476,2230,2024-2025,24,it ITA,Juventus,it Serie A,33,2230,24.8,25,8,0,2,3,5,2,0,0,0,1476,1667,88.5,34,82,31,9,111,24469,5281,732,779,94.0,598,657,91.0,112,150,74.7,DFFW,247ed022
3,Himad Abdelli,1373,2849,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,2849,31.7,32,0,0,6,1,7,3,3,4,1,1373,1672,82.1,39,171,38,3,207,21646,6031,710,807,88.0,531,612,86.8,82,151,54.3,MFFW,7978cbf0
4,Florian Wirtz,1370,2359,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,2359,26.2,25,6,0,10,12,22,8,2,4,2,1370,1749,78.3,57,96,65,8,176,18566,5171,870,993,87.6,369,497,74.2,69,133,51.9,MFFW,e7fcf289
5,Michael Olise,1290,2352,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,2352,26.1,28,6,0,12,15,27,12,0,0,0,1290,1585,81.4,90,89,111,13,184,19018,5660,809,881,91.8,397,474,83.8,67,143,46.9,FWMF,c4486bac
6,Pep Chavarría,1244,2589,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,2589,28.8,28,6,2,0,1,1,0,0,0,0,1244,1561,79.7,24,75,27,10,114,19853,6873,659,739,89.2,477,582,82.0,85,162,52.5,DFFW,63c5e56b
7,Tom Bischof,1210,2570,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,2570,28.6,30,1,0,5,2,7,5,0,0,0,1210,1537,78.7,50,110,39,10,138,20642,6105,580,654,88.7,447,529,84.5,136,240,56.7,MFFW,07d3bfec
8,Vincenzo Grifo,1173,2457,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,2457,27.3,31,3,0,8,11,19,8,0,3,3,1173,1529,76.7,66,104,48,10,128,20566,5422,542,601,90.2,470,562,83.6,128,279,45.9,FWMF,54e4866f
9,Lamine Yamal,1161,2867,2024-2025,17,es ESP,Barcelona,es La Liga,35,2867,31.9,31,4,0,9,13,22,9,0,0,0,1161,1553,74.8,64,78,95,16,160,16208,4559,727,843,86.2,327,448,73.0,56,125,44.8,FW,82ec26c1
10,Luis Henrique,1156,2625,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,2625,29.2,29,4,1,7,7,14,7,0,0,0,1156,1427,81.0,53,95,47,20,143,17828,5190,640,728,87.9,420,505,83.2,70,123,56.9,DFFW,f36d5624
11,Alex Iwobi,1150,3001,2024-2025,28,ng NGA,Fulham,eng Premier League,38,3001,33.3,35,3,0,9,6,15,9,0,0,0,1150,1532,75.1,59,115,86,19,213,19530,5723,582,671,86.7,448,574,78.0,98,184,53.3,FWMF,6ca5ec4b
12,Cole Palmer,1140,3201,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,3201,35.6,36,1,0,15,8,23,11,4,5,1,1140,1480,77.0,87,163,64,17,214,21582,5611,470,546,86.1,470,555,84.7,173,289,59.9,MFFW,dc7f8a28
13,Lucas Paquetá,1126,2390,2024-2025,26,br BRA,West Ham,eng Premier League,33,2390,26.6,27,6,1,4,0,4,2,2,2,0,1126,1456,77.3,36,132,44,4,155,18683,6014,590,700,84.3,389,494,78.7,119,184,64.7,MFFW,9b6f7fd5
14,Lee Kang-in,1110,1677,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,1677,18.6,19,11,2,6,6,12,6,0,0,0,1110,1268,87.5,56,103,43,7,143,17230,4215,617,655,94.2,352,393,89.6,97,148,65.5,FWMF,8455ad90
15,Mikkel Damsgaard,1107,2934,2024-2025,24,dk DEN,Brentford,eng Premier League,38,2934,32.6,34,4,0,2,10,12,2,0,0,0,1107,1529,72.4,63,167,73,17,234,19063,7512,551,642,85.8,390,531,73.4,134,262,51.1,MFFW,215f3907
16,Antoine Griezmann,1094,2489,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,2489,27.7,29,9,0,8,7,15,7,1,2,1,1094,1463,74.8,48,105,47,11,143,17074,4671,618,717,86.2,319,443,72.0,111,190,58.4,FWMF,df69b544
17,Mason Greenwood,1089,2820,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,2820,31.3,32,2,0,21,5,26,14,7,9,2,1089,1389,78.4,47,78,70,14,157,18128,4250,555,646,85.9,395,475,83.2,104,186,55.9,FWMF,58eee997
18,Rayan Cherki,1079,2055,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,2055,22.8,22,8,0,8,11,19,8,0,0,0,1079,1375,78.5,75,97,77,3,206,17006,5140,597,667,89.5,373,453,82.3,80,165,48.5,FWMF,b34c63a5
19,Raphinha,1064,2848,2024-2025,27,br BRA,Barcelona,es La Liga,36,2848,31.6,32,4,1,18,9,27,16,2,2,0,1064,1497,71.1,91,87,67,18,135,17773,4933,557,661,84.3,358,474,75.5,113,249,45.4,FWMF,3423f250
20,Andrej Kramarić,1021,2781,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,2781,30.9,32,0,0,11,8,19,8,3,3,0,1021,1314,77.7,49,101,38,15,143,15494,4102,561,644,87.1,339,428,79.2,68,131,51.9,MFFW,603cb947
21,Mahdi Camara,1021,2673,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,2673,29.7,31,3,0,5,3,8,5,0,0,0,1021,1190,85.8,26,79,17,10,111,15953,3369,498,554,89.9,443,492,90.0,41,65,63.1,MFFW,8577e60a
22,Nicolás Paz,992,2700,2024-2025,19,ar ARG,Como,it Serie A,35,2700,30.0,30,5,1,6,8,14,6,0,1,1,992,1231,80.6,54,116,38,2,163,13933,3946,602,673,89.5,304,367,82.8,44,90,48.9,MFFW,01bb93d5
23,Maghnes Akliouche,989,2413,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,2413,26.8,27,5,0,5,10,15,4,1,1,0,989,1216,81.3,49,90,64,3,173,13887,4098,604,670,90.1,291,356,81.7,54,87,62.1,FWMF,b625b241
24,Keane Lewis-Potter,982,3102,2024-2025,23,eng ENG,Brentford,eng Premier League,38,3102,34.5,36,2,0,1,3,4,1,0,0,0,982,1273,77.1,26,69,47,18,98,16310,5025,532,591,90.0,335,426,78.6,88,181,48.6,DFFW,41f08ac8
25,Sergi Darder,981,2767,2024-2025,30,es ESP,Mallorca,es La Liga,38,2767,30.7,34,4,0,2,6,8,2,0,0,0,981,1302,75.3,54,122,33,15,142,18512,5664,440,497,88.5,366,462,79.2,150,274,54.7,MFFW,070a3904
26,Federico Dimarco,973,2200,2024-2025,26,it ITA,Inter,it Serie A,33,2200,24.4,29,4,2,4,7,11,4,0,0,0,973,1275,76.3,48,47,40,19,83,16613,4805,479,548,87.4,390,486,80.2,88,182,48.4,DFFW,970b8574
27,Enzo Millot,967,1858,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,1858,20.6,22,7,2,6,5,11,6,0,1,1,967,1140,84.8,23,89,30,3,118,13665,3306,611,668,91.5,290,336,86.3,43,81,53.1,MFFW,f76022e7
28,Kylian Mbappé,949,2918,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,2918,32.4,34,0,0,31,3,34,24,7,9,2,949,1145,82.9,51,75,52,3,140,13622,2382,575,652,88.2,250,292,85.6,62,78,79.5,FW,42fd9c7f
29,Rodrygo,939,1945,2024-2025,23,br BRA,Real Madrid,es La Liga,30,1945,21.6,22,8,1,6,5,11,6,0,0,0,939,1093,85.9,49,66,26,2,108,12276,3000,619,652,94.9,234,272,86.0,35,85,41.2,FWMF,8f5e92a6
30,Désiré Doué,933,1743,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,1743,19.4,18,13,1,6,6,12,6,0,0,0,933,1133,82.3,55,83,51,16,139,13916,3351,518,570,90.9,330,399,82.7,48,88,54.5,FWMF,9e7483ff
31,Loïc Nego,922,2466,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,2466,27.4,28,3,3,0,0,0,0,0,0,0,922,1228,75.1,13,83,30,15,102,15621,6488,462,520,88.8,368,471,78.1,80,184,43.5,DFFW,c3b6fa1e
