,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh▼,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
1,Patrik Schick,68,1695,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,1695,18.8,19,12,2,21,0,21,20,1,1,0,68,0.29,0.63,32,47.1,11.8,0,FW,5d4f7d61
2,Lucas Stassin,44,1900,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,1900,21.1,23,5,0,12,4,16,12,0,0,0,44,0.27,0.52,23,52.3,14.1,0,FW,a47d6f3a
3,Chris Wood,65,2980,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,2980,33.1,35,1,0,20,3,23,17,3,3,0,65,0.26,0.53,32,49.2,13.5,0,FW,4e9a0555
4,Jørgen Strand Larsen,54,2606,2024-2025,24,no NOR,Wolves,eng Premier League,35,2606,29.0,30,5,0,14,4,18,14,0,0,0,54,0.26,0.42,33,61.1,11.3,0,FW,f553b2b3
5,Ayoze Pérez,75,1982,2024-2025,31,es ESP,Villarreal,es La Liga,30,1982,22.0,22,8,0,19,2,21,19,0,0,0,75,0.25,0.61,31,41.3,14.2,0,FW,819aa8e7
6,Ludovic Ajorque,53,2508,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,2508,27.9,29,2,0,13,2,15,13,0,1,1,53,0.25,0.52,25,47.2,12.1,0,FW,462475ed
7,Alexander Sørloth,78,1578,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1578,17.5,15,20,2,20,2,22,19,1,1,0,78,0.24,0.48,40,51.3,12.0,0,FW,e92cd3f7
8,Borja Iglesias,46,1975,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,1975,21.9,24,13,1,11,3,14,11,0,0,0,46,0.24,0.39,28,60.9,13.4,0,FW,75645f0e
9,Jonathan Burkardt,70,2127,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,2127,23.6,28,1,0,18,2,20,16,2,2,0,70,0.23,0.57,28,40.0,13.6,0,FW,05f99a4a
10,Ermedin Demirović,64,1869,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,1869,20.8,20,14,0,15,1,16,15,0,2,2,64,0.23,0.56,27,42.2,11.3,0,FW,ed79b7d3
11,Emanuel Emegha,61,2307,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,2307,25.6,27,0,0,14,3,17,14,0,0,0,61,0.23,0.40,35,57.4,12.5,0,FW,a0c590b9
12,Robert Lewandowski,111,2684,2024-2025,35,pl POL,Barcelona,es La Liga,34,2684,29.8,32,2,2,27,2,29,24,3,4,1,111,0.22,0.53,45,40.5,13.2,5,FW,8d78e732
13,Marcus Thuram,65,2304,2024-2025,26,fr FRA,Inter,it Serie A,32,2304,25.6,27,5,3,14,4,18,14,0,0,0,65,0.22,0.52,27,41.5,13.1,0,FW,6f8cd6d0
14,Nick Woltemade,46,1629,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,1629,18.1,17,11,5,12,2,14,10,2,3,1,46,0.22,0.43,23,50.0,12.3,0,FWMF,7ca196eb
15,Mateo Retegui,99,2408,2024-2025,25,it ITA,Atalanta,it Serie A,36,2408,26.8,32,4,0,25,8,33,21,4,5,1,99,0.21,0.66,32,32.3,12.8,2,FW,e7695e6c
16,Ousmane Dembélé,96,1745,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,1745,19.4,20,9,1,21,6,27,20,1,1,0,96,0.21,0.41,49,51.0,16.0,0,FW,b19db005
17,Yoane Wissa,90,2930,2024-2025,27,cd COD,Brentford,eng Premier League,35,2930,32.6,34,1,0,19,4,23,19,0,0,0,90,0.21,0.46,41,45.6,13.2,0,FW,2500cef9
18,Serhou Guirassy,86,2603,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,2603,28.9,29,1,0,21,4,25,18,3,4,1,86,0.21,0.55,33,38.4,12.1,1,FW,923f4dda
19,Tim Kleindienst,73,2744,2024-2025,28,de GER,Gladbach,de Bundesliga,31,2744,30.5,31,0,0,16,7,23,15,1,2,1,73,0.21,0.42,36,49.3,12.9,0,FW,258a6f4d
20,Hugo Duro,48,2177,2024-2025,24,es ESP,Valencia,es La Liga,31,2177,24.2,25,6,2,11,2,13,10,1,1,0,48,0.21,0.63,16,33.3,11.1,1,FW,37e103f8
21,Ferrán Torres,48,1115,2024-2025,24,es ESP,Barcelona,es La Liga,27,1115,12.4,12,15,2,10,6,16,10,0,0,0,48,0.21,0.45,22,45.8,14.6,2,FWMF,9e1035f8
22,Alexander Isak,95,2774,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,2774,30.8,34,0,0,23,6,29,19,4,4,0,95,0.20,0.46,41,43.2,14.5,3,FW,8e92be30
23,Kevin Schade,55,2313,2024-2025,22,de GER,Brentford,eng Premier League,38,2313,25.7,26,12,0,11,2,13,11,0,0,0,55,0.20,0.41,27,49.1,11.5,0,FW,52afb588
24,Brennan Johnson,54,2185,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,2185,24.3,24,9,2,11,3,14,11,0,0,0,54,0.20,0.55,20,37.0,11.4,0,FW,0cd31129
25,Bryan Mbeumo,79,3417,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3417,38.0,38,0,0,20,7,27,15,5,6,1,79,0.19,0.44,34,43.0,17.9,6,FW,6afaebf2
26,Bradley Barcola,74,2200,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,2200,24.4,27,7,0,14,10,24,14,0,0,0,74,0.19,0.37,38,51.4,13.2,0,FW,a0d55a09
27,Julián Álvarez,70,2526,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,2526,28.1,30,7,0,17,4,21,13,4,4,0,70,0.19,0.36,36,51.4,18.3,5,FW,15ab5a2b
28,Evann Guessand,63,2578,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,2578,28.6,30,3,1,12,8,20,12,0,0,0,63,0.19,0.44,27,42.9,12.7,0,FWMF,b73f17f8
29,Alexandre Lacazette,53,2067,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,2067,23.0,24,6,0,15,2,17,10,5,6,1,53,0.19,0.32,31,58.5,13.5,1,FW,9dbb75ca
30,Erling Haaland,104,2742,2024-2025,24,no NOR,Manchester City,eng Premier League,31,2742,30.5,31,0,1,22,3,25,19,3,4,1,104,0.18,0.35,55,52.9,12.3,1,FW,1f44ac21
31,Luis Díaz,71,2420,2024-2025,27,co COL,Liverpool,eng Premier League,36,2420,26.9,28,8,2,13,5,18,13,0,0,0,71,0.18,0.43,30,42.3,13.4,0,FW,4a1a9578
32,Jean-Philippe Mateta,68,2661,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,2661,29.6,33,4,0,14,2,16,12,2,2,0,68,0.18,0.41,29,42.6,15.5,0,FW,50e6dc35
33,Arnaud Kalimuendo,68,2593,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,2593,28.8,31,2,0,17,3,20,12,5,8,3,68,0.18,0.41,29,42.6,16.7,1,FWMF,bf4c41f9
34,Romelu Lukaku,60,2872,2024-2025,31,be BEL,Napoli,it Serie A,36,2872,31.9,35,1,0,14,10,24,11,3,4,1,60,0.18,0.55,20,33.3,14.3,1,FW,5eae500a
35,Cody Gakpo,57,1952,2024-2025,25,nl NED,Liverpool,eng Premier League,35,1952,21.7,23,12,0,10,4,14,10,0,0,0,57,0.18,0.45,22,38.6,15.1,0,FW,1971591f
36,Kaoru Mitoma,57,2616,2024-2025,27,jp JPN,Brighton,eng Premier League,36,2616,29.1,28,8,0,10,4,14,10,0,0,0,57,0.18,0.37,27,47.4,13.9,0,FWMF,74618572
37,Shuto Machino,49,1967,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,1967,21.9,23,9,2,11,2,13,9,2,2,0,49,0.18,0.43,21,42.9,17.2,4,FWMF,964dde35
38,Rayan Cherki,45,2055,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,2055,22.8,22,8,0,8,11,19,8,0,0,0,45,0.18,0.42,19,42.2,16.8,3,FWMF,b34c63a5
39,Mohamed Salah,121,3380,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,3380,37.6,38,0,0,29,18,47,20,9,9,0,121,0.17,0.40,50,41.3,14.5,1,FW,e342ad68
40,Moise Kean,103,2712,2024-2025,24,it ITA,Fiorentina,it Serie A,32,2712,30.1,31,1,0,19,3,22,18,1,2,1,103,0.17,0.37,49,47.6,15.0,0,FW,3d50bcdb
41,Ollie Watkins,82,2617,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,2617,29.1,31,7,0,16,8,24,14,2,2,0,82,0.17,0.39,36,43.9,12.1,0,FW,aed3a70f
42,Ademola Lookman,81,2266,2024-2025,26,ng NGA,Atalanta,it Serie A,31,2266,25.2,28,3,2,15,5,20,14,1,1,0,81,0.17,0.44,32,39.5,14.7,0,MFFW,7c104bb7
43,Riccardo Orsolini,72,1892,2024-2025,27,it ITA,Bologna,it Serie A,30,1892,21.0,23,7,3,15,4,19,12,3,3,0,72,0.17,0.48,25,34.7,17.5,6,FW,e14ec482
44,Benjamin Šeško,66,2400,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,2400,26.7,30,3,0,13,5,18,11,2,2,0,66,0.17,0.38,29,43.9,17.5,0,FWMF,3260690c
45,Lorenzo Lucca,64,2366,2024-2025,23,it ITA,Udinese,it Serie A,33,2366,26.3,27,6,0,12,1,13,11,1,1,0,64,0.17,0.44,25,39.1,13.6,0,FW,83c06f3a
46,Kiké,60,2559,2024-2025,34,es ESP,Alavés,es La Liga,35,2559,28.4,29,6,2,13,0,13,10,3,3,0,60,0.17,0.42,24,40.0,15.4,0,FW,e897d8ba
47,Gaëtan Perrin,59,2710,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,2710,30.1,31,3,0,10,11,21,10,0,0,0,59,0.17,0.38,26,44.1,19.2,5,MFFW,10dd88f9
48,Kai Havertz,53,1878,2024-2025,25,de GER,Arsenal,eng Premier League,23,1878,20.9,21,2,1,9,3,12,9,0,0,0,53,0.17,0.43,21,39.6,11.6,0,FWMF,fed7cb61
49,Amad Diallo,47,1907,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,1907,21.2,20,6,2,8,6,14,8,0,0,0,47,0.17,0.47,17,36.2,17.5,0,MFFW,9dc96f10
50,Fábio Silva,46,1879,2024-2025,22,pt POR,Las Palmas,es La Liga,24,1879,20.9,22,2,0,10,3,13,8,2,3,1,46,0.17,0.40,20,43.5,14.8,0,FW,e7aa9d7c
51,Kylian Mbappé,152,2918,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,2918,32.4,34,0,0,31,3,34,24,7,9,2,152,0.16,0.32,75,49.3,17.3,3,FW,42fd9c7f
52,Omar Marmoush,124,2640,2024-2025,25,eg EGY,2 Teams,2 Comps,33,2640,29.3,31,2,0,22,9,31,20,2,2,0,124,0.16,0.39,51,41.1,18.3,13,FWMF,0e0102eb
53,Harry Kane,105,2394,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2394,26.6,28,3,0,26,9,35,17,9,9,0,105,0.16,0.38,45,42.9,16.3,6,FW,21a66f6a
54,Amine Gouiri,82,2097,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,2097,23.3,23,10,0,13,5,18,13,0,0,0,82,0.16,0.33,40,48.8,15.7,1,FWMF,aad56ca3
55,Leroy Sané,67,1647,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,1647,18.3,17,13,2,11,5,16,11,0,0,0,67,0.16,0.38,29,43.3,16.6,2,FW,2b114be3
56,Artem Dovbyk,61,2435,2024-2025,27,ua UKR,Roma,it Serie A,32,2435,27.1,27,5,3,12,2,14,10,2,2,0,61,0.16,0.40,25,41.0,13.7,0,FW,5b847bb0
57,Ritsu Doan,61,2877,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,2877,32.0,33,1,0,10,7,17,10,0,0,0,61,0.16,0.48,21,34.4,16.7,1,FWMF,d01bbb6f
58,Sandro Ramírez,51,2052,2024-2025,29,es ESP,Las Palmas,es La Liga,31,2052,22.8,25,6,1,9,3,12,8,1,1,0,51,0.16,0.40,20,39.2,24.3,14,FWMF,833fb62e
59,Victor Boniface,50,1019,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,1019,11.3,12,7,5,8,1,9,8,0,1,1,50,0.16,0.47,17,34.0,14.5,0,FW,b146275b
60,Beto,49,1543,2024-2025,26,gw GNB,Everton,eng Premier League,30,1543,17.1,15,15,8,8,0,8,8,0,0,0,49,0.16,0.35,23,46.9,13.1,0,FW,ed5c0319
61,Samuel Essende,44,1652,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,1652,18.4,21,9,1,7,2,9,7,0,0,0,44,0.16,0.54,13,29.5,13.9,0,FW,821550ce
62,Jonathan David,66,2562,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,2562,28.5,28,4,0,16,5,21,10,6,7,1,66,0.15,0.36,28,42.4,15.3,0,FW,ce50fd99
63,Liam Delap,66,2622,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,2622,29.1,32,5,0,12,2,14,10,2,2,0,66,0.15,0.34,29,43.9,16.0,0,FW,dd897ee7
