,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Touches,Touches,Touches,Touches,Touches,Touches,Touches,,-additional
Rk,Player,Touches,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-9999
1,Florian Wirtz,2096,2351,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,2351,26.1,25,6,0,10,12,22,8,2,4,2,2096,10,129,814,1177,137,2092,MFFW,e7fcf289
2,Lamine Yamal,2094,2856,2024-2025,17,es ESP,Barcelona,es La Liga,35,2856,31.7,31,4,0,9,13,22,9,0,0,0,2094,9,104,667,1364,226,2094,FW,82ec26c1
3,Bernardo Silva,2054,2670,2024-2025,29,pt POR,Manchester City,eng Premier League,33,2670,29.7,29,4,5,4,4,8,4,0,0,0,2054,50,355,843,876,141,2054,MFFW,3eb22ec9
4,Himad Abdelli,1993,2842,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,2842,31.6,32,0,0,6,1,7,3,3,4,1,1993,38,293,1149,597,49,1989,MFFW,7978cbf0
5,Michael Olise,1957,2334,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,2334,25.9,28,6,0,12,15,27,12,0,0,0,1957,18,107,665,1208,148,1957,FWMF,c4486bac
6,Tom Bischof,1951,2559,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,2559,28.4,30,1,0,5,2,7,5,0,0,0,1951,76,376,957,634,46,1951,MFFW,07d3bfec
7,Andrea Cambiaso,1911,2221,2024-2025,24,it ITA,Juventus,it Serie A,33,2221,24.7,25,8,0,2,3,5,2,0,0,0,1911,55,474,939,517,42,1911,DFFW,247ed022
8,Pep Chavarría,1884,2585,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,2585,28.7,28,6,2,0,1,1,0,0,0,0,1884,93,602,801,500,31,1884,DFFW,63c5e56b
9,Mikkel Damsgaard,1882,2911,2024-2025,24,dk DEN,Brentford,eng Premier League,38,2911,32.3,34,4,0,2,10,12,2,0,0,0,1882,36,331,863,712,76,1882,MFFW,215f3907
10,Raphinha,1863,2839,2024-2025,27,br BRA,Barcelona,es La Liga,36,2839,31.5,32,4,1,18,9,27,16,2,2,0,1863,31,114,661,1113,183,1861,FWMF,3423f250
11,Alex Iwobi,1861,2981,2024-2025,28,ng NGA,Fulham,eng Premier League,38,2981,33.1,35,3,0,9,6,15,9,0,0,0,1861,33,244,748,895,116,1861,FWMF,6ca5ec4b
12,Cole Palmer,1851,3191,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,3191,35.5,36,1,0,15,8,23,11,4,5,1,1851,23,150,824,901,144,1846,MFFW,dc7f8a28
13,Lucas Paquetá,1796,2380,2024-2025,26,br BRA,West Ham,eng Premier League,33,2380,26.4,27,6,1,4,0,4,2,2,2,0,1796,62,367,989,454,59,1794,MFFW,9b6f7fd5
14,Bryan Mbeumo,1781,3414,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3414,37.9,38,0,0,20,7,27,15,5,6,1,1781,62,246,567,998,168,1775,FW,6afaebf2
15,Vincenzo Grifo,1768,2432,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,2432,27.0,31,3,0,8,11,19,8,0,3,3,1768,35,240,921,618,71,1765,FWMF,54e4866f
16,Mason Greenwood,1746,2804,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,2804,31.2,32,2,0,21,5,26,14,7,9,2,1746,4,107,726,929,151,1737,FWMF,58eee997
17,Mohamed Salah,1695,3371,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,3371,37.5,38,0,0,29,18,47,20,9,9,0,1695,11,97,500,1119,356,1686,FW,e342ad68
18,Nicolás Paz,1683,2687,2024-2025,19,ar ARG,Como,it Serie A,35,2687,29.9,30,5,1,6,8,14,6,0,1,1,1683,21,225,821,667,85,1682,MFFW,01bb93d5
19,Antoine Griezmann,1678,2469,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,2469,27.4,29,9,0,8,7,15,7,1,2,1,1678,28,216,748,729,93,1676,FWMF,df69b544
20,Antoine Semenyo,1653,3203,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,3203,35.6,36,1,0,11,5,16,11,0,0,0,1653,46,206,573,909,191,1653,FW,efd2ec23
21,Luis Henrique,1643,2613,2024-2025,22,br BRA,Marseille,fr Ligue 1,33,2613,29.0,29,4,1,7,7,14,7,0,0,0,1643,32,245,657,761,79,1643,DFFW,f36d5624
22,Keane Lewis-Potter,1613,3093,2024-2025,23,eng ENG,Brentford,eng Premier League,38,3093,34.4,36,2,0,1,3,4,1,0,0,0,1613,102,504,625,505,74,1613,DFFW,41f08ac8
23,Giuseppe Pezzella,1579,2878,2024-2025,26,it ITA,Empoli,it Serie A,35,2878,32.0,34,1,2,0,3,3,0,0,0,0,1579,88,448,630,521,33,1579,DFFW,149c5f5d
24,Rayan Cherki,1573,2041,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,2041,22.7,22,8,0,8,11,19,8,0,0,0,1573,6,120,653,826,132,1573,FWMF,b34c63a5
