Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
1,Denzel Dumfries,57,18,76.0,1955,2024-2025,28,nl NED,Inter,it Serie A,29,DFFW,481c9ece
2,Alexis Saelemaekers,8,3,72.7,1479,2024-2025,25,be BEL,2 Teams,it Serie A,23,DFFW,ee251371
3,Milan Đurić,167,65,72.0,1538,2024-2025,34,ba BIH,2 Teams,it Serie A,27,FW,405f6586
4,Thierno Barry,99,48,67.3,2323,2024-2025,21,fr FRA,Villarreal,es La Liga,35,FW,52c3244b
5,Antoine Hainaut,33,16,67.3,1206,2024-2025,22,fr FRA,Parma,it Serie A,25,DFFW,6503f220
6,Bradley Barcola,14,7,66.7,2181,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,FW,a0d55a09
7,Alexander Sørloth,98,50,66.2,1566,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,FW,e92cd3f7
8,Giuseppe Pezzella,36,19,65.5,2878,2024-2025,26,it ITA,Empoli,it Serie A,35,DFFW,149c5f5d
9,Christopher Operi,11,6,64.7,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,DFFW,914bb955
10,Christian Kouamé,77,43,64.2,1129,2024-2025,26,ci CIV,2 Teams,it Serie A,26,FWMF,58e933d2
11,Adama Boiro,16,9,64.0,1101,2024-2025,22,es ESP,Athletic Club,es La Liga,18,DFFW,e7992f7b
12,Simon Adingra,7,4,63.6,1097,2024-2025,22,ci CIV,Brighton,eng Premier League,29,FWMF,4dcec659
13,Florian Sotoca,43,26,62.3,1794,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,FWMF,7a42d0df
14,Tete Morente,37,23,61.7,2021,2024-2025,27,es ESP,Lecce,it Serie A,31,FWMF,004d185e
15,Paul Onuachu,93,59,61.2,1050,2024-2025,30,ng NGA,Southampton,eng Premier League,25,FW,c06d1086
16,Juanmi Latasa,90,58,60.8,1398,2024-2025,23,es ESP,Valladolid,es La Liga,28,FW,2bea832e
17,Jamie Leweling,6,4,60.0,1663,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,MFFW,13fe7b69
18,Issa Soumaré,84,56,60.0,1902,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,FWMF,1d8aa290
19,Raphinha,9,6,60.0,2839,2024-2025,27,br BRA,Barcelona,es La Liga,36,FWMF,3423f250
20,Iñaki Williams,30,20,60.0,2652,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,FW,6a99e0b1
21,Khalil Fayad,9,6,60.0,1028,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,20,MFFW,faf00ab8
22,Patrick Dorgu,31,21,59.6,1840,2024-2025,19,dk DEN,Lecce,it Serie A,21,DFFW,e6536124
23,Victor Boniface,32,22,59.3,1008,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,FW,b146275b
24,Harry Kane,29,20,59.2,2381,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,FW,21a66f6a
25,Adrian Beck,29,20,59.2,1598,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,MFFW,616c09f5
26,Benjamin Šeško,70,49,58.8,2380,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,FWMF,3260690c
27,John McGinn,17,12,58.6,2223,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,MFFW,90f91999
28,Vedat Muriqi,135,98,57.9,2058,2024-2025,30,xk KVX,Mallorca,es La Liga,29,FW,0cadc46d
29,Lilian Raolisoa,15,11,57.7,1318,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,DFFW,79a793b7
30,Nicolás Paz,31,23,57.4,2687,2024-2025,19,ar ARG,Como,it Serie A,35,MFFW,01bb93d5
31,Yaser Asprilla,4,3,57.1,1405,2024-2025,20,co COL,Girona,es La Liga,27,FWMF,d139daf9
32,Gonçalo Ramos,20,15,57.1,1066,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,FW,f63cda26
33,Marcus Thuram,45,34,57.0,2290,2024-2025,26,fr FRA,Inter,it Serie A,32,FW,6f8cd6d0
34,Ademola Lookman,17,13,56.7,2247,2024-2025,26,ng NGA,Atalanta,it Serie A,31,MFFW,7c104bb7
35,Lucas Höler,80,61,56.7,1867,2024-2025,30,de GER,Freiburg,de Bundesliga,31,FWMF,ca618d23
36,Philipp Hofmann,164,126,56.6,2277,2024-2025,31,de GER,Bochum,de Bundesliga,32,FW,877bc844
37,Sergi Darder,13,10,56.5,2744,2024-2025,30,es ESP,Mallorca,es La Liga,38,MFFW,070a3904
38,Rafael Leão,26,20,56.5,2323,2024-2025,25,pt POR,Milan,it Serie A,34,FW,20730eae
39,Cristhian Stuani,22,17,56.4,1078,2024-2025,37,uy URU,Girona,es La Liga,32,FW,220c11f1
40,Joelinton,59,46,56.2,2393,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,MFFW,c17bfb65
41,Carles Aleñá,19,15,55.9,1542,2024-2025,26,es ESP,2 Teams,es La Liga,24,MFFW,6c811eb7
42,Loïc Nego,19,15,55.9,2459,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,DFFW,c3b6fa1e
43,Marshall Munetsi,29,23,55.8,1078,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,MFFW,2acf0cd7
44,Nicolás González,59,47,55.7,1750,2024-2025,26,ar ARG,Juventus,it Serie A,26,FWMF,2374aaca
45,Tim Kleindienst,149,123,54.8,2737,2024-2025,28,de GER,Gladbach,de Bundesliga,31,FW,258a6f4d
46,Riccardo Orsolini,23,19,54.8,1878,2024-2025,27,it ITA,Bologna,it Serie A,30,FW,e14ec482
47,Jordan Pefok,54,45,54.5,1288,2024-2025,28,us USA,2 Teams,2 Comps,25,FW,b684a484
48,Nicolás Domínguez,27,23,54.0,1963,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,MFFW,20b3a502
49,Leroy Sané,7,6,53.8,1637,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,FW,2b114be3
50,Mostafa Mohamed,57,49,53.8,1252,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,FW,595e6f3e
51,Bertuğ Yıldırım,73,63,53.7,1083,2024-2025,22,tr TUR,Getafe,es La Liga,22,FW,7410d325
52,Toni Martínez,79,68,53.7,1012,2024-2025,27,es ESP,Alavés,es La Liga,28,FW,f3945e07
53,Maximilian Beier,23,20,53.5,1591,2024-2025,21,de GER,Dortmund,de Bundesliga,29,FWMF,5db45ee5
54,Erling Haaland,57,50,53.3,2736,2024-2025,24,no NOR,Manchester City,eng Premier League,31,FW,1f44ac21
55,Mason Greenwood,8,7,53.3,2804,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,FWMF,58eee997
56,Thijs Dallinga,41,36,53.2,1154,2024-2025,23,nl NED,Bologna,it Serie A,31,FW,b70afb45
57,Valentín Castellanos,68,60,53.1,2384,2024-2025,25,ar ARG,Lazio,it Serie A,29,FW,da76bab4
58,Ramón Terrats,17,15,53.1,1350,2024-2025,23,es ESP,2 Teams,es La Liga,26,MFFW,f36016a5
59,Kevin Schade,90,80,52.9,2293,2024-2025,22,de GER,Brentford,eng Premier League,38,FW,52afb588
60,Serhou Guirassy,109,97,52.9,2598,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,FW,923f4dda
61,Tammy Abraham,37,33,52.9,1184,2024-2025,26,eng ENG,2 Teams,it Serie A,29,FW,f586779e
62,Vitinha,31,28,52.5,1328,2024-2025,24,pt POR,Genoa,it Serie A,25,FWMF,74d4cec6
63,Ludovic Ajorque,133,121,52.4,2495,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,FW,462475ed
64,Kiké,110,100,52.4,2542,2024-2025,34,es ESP,Alavés,es La Liga,35,FW,e897d8ba
65,Morten Thorsby,107,99,51.9,1898,2024-2025,28,no NOR,Genoa,it Serie A,30,MFFW,d1b49282
66,Mikel Merino,59,55,51.8,1586,2024-2025,28,es ESP,Arsenal,eng Premier League,28,MFFW,d080ed5e
67,Umar Sadiq,32,30,51.6,1052,2024-2025,27,ng NGA,2 Teams,es La Liga,23,FW,686cbe7d
68,Marcos André,47,44,51.6,1188,2024-2025,27,br BRA,Valladolid,es La Liga,22,FW,ae86d473
69,Moise Kean,51,48,51.5,2704,2024-2025,24,it ITA,Fiorentina,it Serie A,32,FW,3d50bcdb
70,Ben Johnson,19,18,51.4,1354,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,DFFW,9319781b
71,M'Bala Nzola,38,36,51.4,1460,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,FW,a4948e67
72,Mathias Honsak,22,21,51.2,1181,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,FWDF,3dbdbb6a
73,Dominic Calvert-Lewin,85,81,51.2,1609,2024-2025,27,eng ENG,Everton,eng Premier League,26,FW,59e6e5bf
74,Matteo Cancellieri,29,28,50.9,1424,2024-2025,22,it ITA,Parma,it Serie A,27,FWMF,b6a1cdf9
75,Ante Budimir,136,132,50.7,2952,2024-2025,33,hr CRO,Osasuna,es La Liga,38,FW,8f3565b3
76,Adam Hložek,40,39,50.6,1871,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,FWMF,5521f419
77,Gaëtan Laborde,48,47,50.5,1829,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,FW,7cdda3bf
78,Coba da Costa,19,19,50.0,1006,2024-2025,22,es ESP,Getafe,es La Liga,19,MFFW,0b3358f0
79,Breel Embolo,30,30,50.0,1841,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,FWMF,0b4f388a
