Rk,Player,Goals,Total_Minutes,Season,Age,Nation,Team,Comp,MP,90s,Starts,Subs,unSub,Assists,Goals_Assists,Non_Penalty_Goals,Penalties_Made,Penalties_Attempted,Penalties_Missed,Position,Player_ID
1,Kylian Mbappé,31,2907,2024-2025,25,fr FRA,Real Madrid,es La Liga,34,32.3,34,0,0,3,34,24,7,9,2,FW,42fd9c7f
2,Mohamed Salah,29,3371,2024-2025,32,eg EGY,Liverpool,eng Premier League,38,37.5,38,0,0,18,47,20,9,9,0,FW,e342ad68
3,Robert Lewandowski,27,2667,2024-2025,35,pl POL,Barcelona,es La Liga,34,29.6,32,2,2,2,29,24,3,4,1,FW,8d78e732
4,Harry Kane,26,2381,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,26.5,28,3,0,9,35,17,9,9,0,FW,21a66f6a
5,Mateo Retegui,25,2383,2024-2025,25,it ITA,Atalanta,it Serie A,36,26.5,32,4,0,8,33,21,4,5,1,FW,e7695e6c
6,Alexander Isak,23,2756,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,30.6,34,0,0,6,29,19,4,4,0,FW,8e92be30
7,Omar Marmoush,22,2623,2024-2025,25,eg EGY,2 Teams,2 Comps,33,29.1,31,2,0,9,31,20,2,2,0,FWMF,0e0102eb
8,Erling Haaland,22,2736,2024-2025,24,no NOR,Manchester City,eng Premier League,31,30.4,31,0,1,3,25,19,3,4,1,FW,1f44ac21
9,Mason Greenwood,21,2804,2024-2025,22,eng ENG,Marseille,fr Ligue 1,34,31.2,32,2,0,5,26,14,7,9,2,FWMF,58eee997
10,Patrik Schick,21,1684,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,18.7,19,12,2,0,21,20,1,1,0,FW,5d4f7d61
11,Ante Budimir,21,2952,2024-2025,33,hr CRO,Osasuna,es La Liga,38,32.8,34,4,0,4,25,13,8,8,0,FW,8f3565b3
12,Serhou Guirassy,21,2598,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,28.9,29,1,0,4,25,18,3,4,1,FW,923f4dda
13,Ousmane Dembélé,21,1730,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,29,19.2,20,9,1,6,27,20,1,1,0,FW,b19db005
14,Chris Wood,20,2959,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,32.9,35,1,0,3,23,17,3,3,0,FW,4e9a0555
15,Bryan Mbeumo,20,3414,2024-2025,24,cm CMR,Brentford,eng Premier League,38,37.9,38,0,0,7,27,15,5,6,1,FW,6afaebf2
16,Alexander Sørloth,20,1566,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,17.4,15,20,2,2,22,19,1,1,0,FW,e92cd3f7
17,Yoane Wissa,19,2919,2024-2025,27,cd COD,Brentford,eng Premier League,35,32.4,34,1,0,4,23,19,0,0,0,FW,2500cef9
18,Moise Kean,19,2704,2024-2025,24,it ITA,Fiorentina,it Serie A,32,30.0,31,1,0,3,22,18,1,2,1,FW,3d50bcdb
19,Ayoze Pérez,19,1970,2024-2025,31,es ESP,Villarreal,es La Liga,30,21.9,22,8,0,2,21,19,0,0,0,FW,819aa8e7
20,Jonathan Burkardt,18,2109,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,23.4,28,1,0,2,20,16,2,2,0,FW,05f99a4a
21,Raphinha,18,2839,2024-2025,27,br BRA,Barcelona,es La Liga,36,31.5,32,4,1,9,27,16,2,2,0,FWMF,3423f250
22,Julián Álvarez,17,2509,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,27.9,30,7,0,4,21,13,4,4,0,FW,15ab5a2b
23,Arnaud Kalimuendo,17,2578,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,28.6,31,2,0,3,20,12,5,8,3,FWMF,bf4c41f9
24,Tim Kleindienst,16,2737,2024-2025,28,de GER,Gladbach,de Bundesliga,31,30.4,31,0,0,7,23,15,1,2,1,FW,258a6f4d
25,Ollie Watkins,16,2598,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,28.9,31,7,0,8,24,14,2,2,0,FW,aed3a70f
26,Jonathan David,16,2554,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,28.4,28,4,0,5,21,10,6,7,1,FW,ce50fd99
27,Hugo Ekitike,15,2563,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,28.5,31,2,0,8,23,14,1,3,2,FW,5b92d896
28,Ademola Lookman,15,2247,2024-2025,26,ng NGA,Atalanta,it Serie A,31,25.0,28,3,2,5,20,14,1,1,0,MFFW,7c104bb7
29,Alexandre Lacazette,15,2051,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,22.8,24,6,0,2,17,10,5,6,1,FW,9dbb75ca
30,Matheus Cunha,15,2597,2024-2025,25,br BRA,Wolves,eng Premier League,33,28.9,29,4,0,6,21,15,0,0,0,MFFW,dc62b55d
31,Cole Palmer,15,3191,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,35.5,36,1,0,8,23,11,4,5,1,MFFW,dc7f8a28
32,Riccardo Orsolini,15,1878,2024-2025,27,it ITA,Bologna,it Serie A,30,20.9,23,7,3,4,19,12,3,3,0,FW,e14ec482
33,Ermedin Demirović,15,1855,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,20.6,20,14,0,1,16,15,0,2,2,FW,ed79b7d3
