Player,Season,Team,Comp,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Position,Player_ID
Robert Lewandowski,2024-2025,Barcelona,es La Liga,27.1,24.0,2.3,29.4,2.3,26.3,-0.1000000000000014,0.0,-0.2999999999999998,0.22,FW,8d78e732
Kylian Mbappé,2024-2025,Real Madrid,es La Liga,25.9,18.6,7.7,33.6,7.7,26.3,5.100000000000001,5.399999999999999,-4.7,0.12,FW,42fd9c7f
Mohamed Salah,2024-2025,Liverpool,eng Premier League,25.2,18.2,14.2,39.4,14.2,32.4,3.8000000000000007,1.8000000000000007,3.8000000000000007,0.15,FW,e342ad68
Serhou Guirassy,2024-2025,Dortmund,de Bundesliga,22.7,19.6,3.9,26.6,3.9,23.5,-1.6999999999999993,-1.6000000000000014,0.1,0.23,FW,923f4dda
Erling Haaland,2024-2025,Manchester City,eng Premier League,22.0,18.8,3.0,25.0,3.0,21.8,0.0,0.1999999999999993,0.0,0.19,FW,1f44ac21
Hugo Ekitike,2024-2025,Eint Frankfurt,de Bundesliga,21.6,19.3,6.8,28.4,6.8,26.1,-6.600000000000001,-5.300000000000001,1.2000000000000002,0.17,FW,5b92d896
Harry Kane,2024-2025,Bayern Munich,de Bundesliga,20.3,13.3,5.3,25.6,5.3,18.6,5.699999999999999,3.6999999999999993,3.7,0.13,FW,21a66f6a
Alexander Isak,2024-2025,Newcastle Utd,eng Premier League,20.3,17.2,4.3,24.6,4.3,21.5,2.6999999999999997,1.8000000000000007,1.7000000000000002,0.18,FW,8e92be30
Moise Kean,2024-2025,Fiorentina,it Serie A,19.4,17.9,1.9,21.3,1.9,19.8,-0.3999999999999986,0.1000000000000014,1.1,0.18,FW,3d50bcdb
Raphinha,2024-2025,Barcelona,es La Liga,19.2,17.6,12.7,31.9,12.7,30.3,-1.1999999999999993,-1.6000000000000014,-3.6999999999999993,0.16,FWMF,3423f250
Mateo Retegui,2024-2025,Atalanta,it Serie A,18.9,14.9,4.9,23.8,4.9,19.8,6.100000000000001,6.1,3.1,0.15,FW,e7695e6c
Yoane Wissa,2024-2025,Brentford,eng Premier League,18.5,18.5,2.6,21.1,2.6,21.1,0.5,0.5,1.4,0.21,FW,2500cef9
Ante Budimir,2024-2025,Osasuna,es La Liga,18.3,12.3,1.7,20.0,1.7,14.0,2.6999999999999997,0.6999999999999993,2.3,0.14,FW,8f3565b3
Cole Palmer,2024-2025,Chelsea,eng Premier League,17.3,13.3,10.9,28.200000000000003,10.9,24.200000000000003,-2.3000000000000007,-2.3000000000000007,-2.9000000000000004,0.11,MFFW,dc7f8a28
Emanuel Emegha,2024-2025,Strasbourg,fr Ligue 1,17.0,17.0,2.4,19.4,2.4,19.4,-3.0,-3.0,0.6000000000000001,0.28,FW,a0c590b9
Alexander Sørloth,2024-2025,Atlético Madrid,es La Liga,16.8,16.0,1.6,18.4,1.6,17.6,3.1999999999999997,3.0,0.3999999999999999,0.21,FW,e92cd3f7
Ousmane Dembélé,2024-2025,Paris S-G,fr Ligue 1,16.6,15.8,8.2,24.8,8.2,24.0,4.399999999999999,4.199999999999999,-2.1999999999999997,0.16,FW,b19db005
Mason Greenwood,2024-2025,Marseille,fr Ligue 1,16.3,9.1,5.7,22.0,5.7,14.8,4.699999999999999,4.9,-0.7000000000000002,0.08,FWMF,58eee997
Alexandre Lacazette,2024-2025,Lyon,fr Ligue 1,16.3,11.7,3.4,19.7,3.4,15.1,-1.3000000000000007,-1.6999999999999993,-1.4,0.22,FW,9dbb75ca
Jonathan David,2024-2025,Lille,fr Ligue 1,16.2,10.7,4.4,20.6,4.4,15.1,-0.1999999999999993,-0.6999999999999993,0.5999999999999996,0.16,FW,ce50fd99
