Rk,Player,Goals,Total_Minutes,Season,Age,Nation,Team,Comp,MP,90s,Starts,Subs,unSub,Assists,Goals_Assists,Non_Penalty_Goals,Penalties_Made,Penalties_Attempted,Penalties_Missed,Position,Player_ID,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Cmp_Total,Att_Total,Cmp%_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Progressive_Passes,Total_Distance,Progressive_Distance,SCA,PassLive_x,PassDead_x,TO_x,Sh_x,Fld_x,Def,GCA,PassLive_y,PassDead_y,TO_y,Sh_y,Fld_y,Def_GCA
168.0,Abdallah Sima,7.0,1238.0,2024-2025,23.0,sn SEN,Brest,fr Ligue 1,27.0,13.8,14.0,13.0,1.0,2.0,9.0,7.0,0.0,0.0,0.0,FWMF,fdbde523,5.9,5.9,1.0,6.9,1.0,6.9,1.0999999999999996,1.0999999999999996,1.0,0.16,37,0.19,0.39,18,0.486,13.1,0,231,332,0.696,142,183,0.7759999999999999,72,105,0.6859999999999999,8,10,0.8,13,13,6,1,24,3140,660,28,20,0,1,4,3,0,3,2,0,0,0,1,0
384.0,Abde Ezzalzouli,2.0,1984.0,2024-2025,22.0,ma MAR,Betis,es La Liga,32.0,22.0,23.0,9.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,FWMF,bed68338,8.0,7.2,2.0,10.0,2.0,9.2,-6.0,-5.2,0.0,0.12,61,0.03,0.08,25,0.41,15.6,1,542,757,0.716,373,454,0.8220000000000001,131,191,0.6859999999999999,11,37,0.297,27,42,19,2,68,6695,1928,66,43,0,10,8,4,1,7,4,0,0,2,1,0
269.0,Abel Ruiz,4.0,1346.0,2024-2025,24.0,es ESP,Girona,es La Liga,23.0,15.0,17.0,6.0,4.0,0.0,4.0,3.0,1.0,2.0,1.0,FW,6cbf8d0d,4.6,3.0,0.5,5.1,0.5,3.5,-0.5999999999999996,0.0,-0.5,0.14,21,0.14,0.43,7,0.3329999999999999,14.0,0,239,272,0.879,139,151,0.921,83,88,0.943,15,22,0.682,8,14,5,0,23,3608,480,17,12,0,1,3,1,0,1,0,0,0,1,0,0
368.0,Adam Armstrong,2.0,1248.0,2024-2025,27.0,eng ENG,Southampton,eng Premier League,20.0,13.9,15.0,5.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0,FWMF,68c720b5,3.3,2.3,1.2,4.5,1.2,3.5,-1.2999999999999998,-0.2999999999999998,0.8,0.09,25,0.08,0.29,7,0.28,16.6,0,231,288,0.802,138,158,0.873,81,95,0.853,6,13,0.462,9,10,8,2,21,3320,446,19,12,1,2,4,0,0,4,1,0,0,3,0,0
126.0,Adam Hložek,8.0,1871.0,2024-2025,22.0,cz CZE,Hoffenheim,de Bundesliga,27.0,20.8,22.0,5.0,0.0,4.0,12.0,8.0,0.0,0.0,0.0,FWMF,5521f419,5.6,5.6,3.5,9.1,3.5,9.1,2.4000000000000004,2.4000000000000004,0.5,0.1,59,0.14,0.33,24,0.407,17.3,1,348,508,0.685,177,240,0.738,126,168,0.75,23,42,0.5479999999999999,20,37,19,4,68,5351,1301,57,41,1,7,4,4,0,10,6,1,2,1,0,0
457.0,Adama Boiro,0.0,1101.0,2024-2025,22.0,es ESP,Athletic Club,es La Liga,18.0,12.2,13.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,DFFW,e7992f7b,0.3,0.3,0.5,0.8,0.5,0.8,-0.3,-0.3,-0.5,0.05,5,0.0,0.0,0,0.0,14.4,0,401,502,0.799,216,239,0.904,170,216,0.787,11,29,0.379,5,44,8,4,46,6196,1937,16,12,1,1,1,1,0,0,0,0,0,0,0,0
376.0,Adama Traoré,2.0,1772.0,2024-2025,28.0,es ESP,Fulham,eng Premier League,36.0,19.7,18.0,18.0,1.0,7.0,9.0,2.0,0.0,0.0,0.0,FWMF,9a28eba4,4.0,4.0,4.9,8.9,4.9,8.9,-2.0,-2.0,2.1,0.1,39,0.05,0.17,12,0.308,14.2,0,424,587,0.722,236,286,0.825,143,194,0.737,30,54,0.556,42,36,38,22,68,6645,1683,82,66,0,9,4,1,2,10,9,0,1,0,0,0
28.0,Ademola Lookman,15.0,2247.0,2024-2025,26.0,ng NGA,Atalanta,it Serie A,31.0,25.0,28.0,3.0,2.0,5.0,20.0,14.0,1.0,1.0,0.0,MFFW,7c104bb7,10.3,9.5,7.1,17.4,7.1,16.6,4.699999999999999,4.5,-2.1,0.12,81,0.17,0.44,32,0.395,14.7,0,684,944,0.725,436,502,0.8690000000000001,178,256,0.695,42,96,0.4379999999999999,61,29,43,13,73,9662,2659,135,75,25,17,15,2,1,15,10,0,3,1,1,0
429.0,Adri Embarba,1.0,1607.0,2024-2025,32.0,es ESP,Rayo Vallecano,es La Liga,35.0,17.9,18.0,17.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,FWMF,db8f0eba,2.1,2.1,2.7,4.800000000000001,2.7,4.800000000000001,-1.1,-1.1,-1.7000000000000002,0.06,37,0.03,0.08,12,0.324,22.1,2,383,599,0.639,218,272,0.8009999999999999,104,156,0.667,43,118,0.364,20,23,17,10,45,6104,1485,46,28,10,1,1,6,0,2,2,0,0,0,0,0
268.0,Adrian Beck,4.0,1598.0,2024-2025,27.0,de GER,Heidenheim,de Bundesliga,32.0,17.8,18.0,14.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,MFFW,616c09f5,3.3,3.3,1.2,4.5,1.2,4.5,0.7000000000000002,0.7000000000000002,-0.1999999999999999,0.08,39,0.1,0.31,13,0.3329999999999999,17.8,0,581,725,0.8009999999999999,274,329,0.833,233,267,0.873,55,76,0.7240000000000001,21,53,18,4,69,9901,2258,56,37,4,10,4,1,0,4,2,1,1,0,0,0
