,42fd9c7f,e342ad68,8d78e732,21a66f6a,e7695e6c,8e92be30,0e0102eb,1f44ac21,58eee997,5d4f7d61,8f3565b3,923f4dda,b19db005,4e9a0555,6afaebf2,e92cd3f7,2500cef9,3d50bcdb,819aa8e7,05f99a4a,3423f250,15ab5a2b,bf4c41f9,258a6f4d,aed3a70f,ce50fd99,5b92d896,7c104bb7,9dbb75ca,dc62b55d,dc7f8a28,e14ec482,ed79b7d3,50e6dc35,5eae500a,6f8cd6d0,a0c590b9,a0d55a09,f553b2b3,3260690c,462475ed,4a1a9578,79c84d1c,a1d95db3,aad56ca3,e897d8ba,2683eda7,5b847bb0,7ca196eb,83c06f3a,a47d6f3a,b561db50,b73f17f8,c4486bac,dd897ee7,f7036e1c,0c61c77c,0cd31129,1bf33a9a,220c11f1,2b114be3,37e103f8,473803c9,4788cb6b,52afb588,52c3244b,603cb947,7111d552,75645f0e,7cdda3bf,964dde35,bc6bd723,d97af612,efd2ec23,08aa9cd1,10dd88f9,1971591f,1cadaf34,3ca7254a,6597f8b6,6f3cc2fe,74618572,79443529,7dcf86f6,9c36ed83,9e1035f8,ae44e8e2,c0b3669f,ce5143da,d01bbb6f,da76bab4,e7aa9d7c,e7fcf289,e8832875,f63cda26,0e46fa2f,2077ae86,244bc2c8,2a158218,3ea50f67,45963054,5b479568,5ed97752,6ca5ec4b,741418c3,82ec26c1,833fb62e,85ce1949,8652a85c,88b4d2e3,8ae7d0ec,8c3c640c,dd549382,dea88efd,e77dc3b2,f2bf1b0f,fed7cb61,07db670d,10745192,20730eae,2b9fdeea,2e5915f1,38ceb24a,48a5a5d6,54e4866f,5521f419,5db45ee5,5f3eaaf5,638a4d71,7ff93107,8e697a8f,9dc96f10,ae4fc6a4,b146275b,b34c63a5,c487901c,d7553721,d85c238b,de112b84,df69b544,ea6a7ab4,ed5c0319,ee5565ae,0cadc46d,11407d95,2ef7c612,2f9e4435,3397e7b5,481c9ece,501055d8,518f2234,6b5ea2f4,821550ce,88e357ef,92e7e919,a4fe8cda,ab5b7dc1,bf34eebd,c2a6033c,d080ed5e,d8cda243,dea1d183,df3cda47,e7af9060,ed1e53f3,ee251371,f36d5624,fdbde523,01bb93d5,04df29a5,0b4f388a,0be95d34,178ae8f8,19053e31,2bd83368,2fba6108,38ce1150,3bd65247,43458538,58ce23e5,5e080f73,6191093d,64629ba4,6a99e0b1,6e058f06,75374ee7,7978cbf0,79b51257,7aa8adfe,801831fe,8455ad90,8babb812,8f5e92a6,9e7483ff,a1d5bd30,a4948e67,ac4a4508,b492126a,b79858d5,bc7dc64d,c1fe5f0b,c2c8897d,c3cf087d,c6dc9ecd,c981fc98,ca618d23,ce747d2a,dc1c2fce,e0921a4f,ea003d07,f76022e7,f833a830,ff2fb007,042e8a49,07d3bfec,091b9eb8,129af0db,15f3ec41,16aa3654,1c772b46,1d8aa290,3dbdbb6a,405f6586,42fdb11d,468a7a91,482d2bc3,4d77b365,595e6f3e,5c96b017,5e5249c8,64e8ed6d,686cbe7d,6be41a31,71b47ab9,8236f673,853ca71c,8577e60a,8eec784d,90df343e,99127249,aa8e289e,afdc14d7,b625b241,b62878a5,c64c01fc,cc2dd8a5,da052c14,e2ae54db,e5ec95f8,eb3dd471,efc9e31f,0174ba21,0cdb6a2a,184fe4b2,2079b3cc,30144daa,3eb22ec9,407feb71,44435c8f,481f76cf,491a433d,49dbab27,4bcf39f6,540ec57b,5715bb71,57469b2d,5dbefa9d,616c09f5,6cbf8d0d,6d0fe035,6db116ec,70f8e0bd,7b9a9e25,7ba2eaa9,87941696,8ca9415f,90bbd822,919dd4b1,970b8574,9b6f7fd5,be719093,c06d1086,c17bfb65,c6f0d5d4,cb00f1e6,cf007308,d5326924,db7849ca,dbd3a428,e46012d4,ec315772,f08490a6,f36016a5,f3945e07,fc15fb84,004d185e,028e70b9,030ef8d6,0400dd2f,05ba9d7c,234a703c,2374aaca,2bea832e,2ccd39ed,34693494,3708e9fa,3741ca58,45392b06,4c0a6a48,5054c359,54e53b7e,57e3f0c7,59e6e5bf,5c0da4a4,5cfc74fc,5e861944,5ef3d210,6190474d,6f9fa232,78b8ac63,79064bc9,7b5ab7f2,873619c6,877bc844,9226aa22,9efa1d25,a26fb8aa,a53649b7,a6103274,a83b47fa,a8567629,a8f21b9f,b6a1cdf9,b70afb45,b85a5126,bd9553e6,cb11b429,cb64672e,d139daf9,d571df78,dbf053da,e6536124,f15f8b2b,f586779e,f8405304,fffea3e5,05e8ca6d,070a3904,07d65234,0a447501,0cf778df,10f0fdd3,13ddc856,13fe7b69,215f3907,247ed022,2979c05a,2acf0cd7,3b387cc7,442b56fa,48a2b92a,4dcec659,4f1e6a0b,618f396a,64035864,6499048c,6503f220,68c720b5,70107d4d,74d4cec6,82927de4,829aa60c,82e12fe7,8846a40f,96ddfa79,9a28eba4,9cfbad36,9d689a5b,9deaf2c8,abefc3af,b09e0873,b735b590,bdcc89ae,bed68338,c93231dc,d21e361a,f1e94cd6,f7042636,f7e87032,f9758dae,f9f74e43,fb14aa28,0917188a,0b3358f0,148e136f,1544f145,1956b948,19709006,19cae58d,200e89e1,2677a1de,357103bd,3626daea,37db6cae,3a233281,3b12b11f,3c6089ab,3f7bafbe,41f08ac8,4b96c347,53210e42,58e933d2,6763373d,7410d325,7a42d0df,8725a42e,8dfdc6c3,90f91999,9319781b,a55d8df5,a62f8bf1,a96103b2,aa849a12,ae86d473,b684a484,bbd79358,c997b942,cb971b4f,db8f0eba,dd676a97,fe012aca,fe6e7156,fed17f5a,016ff750,149c5f5d,20b3a502,37dc1a48,4ccd8957,5fa714d5,63c5e56b,65857fdf,6c811eb7,757a3431,79a793b7,81a4c239,83fe71b8,8b66d9cc,914bb955,a3b03921,af784a9e,b51b1b9c,c3b6fa1e,d1b49282,d3ddf88b,e16932d8,e6697917,e7992f7b,efaefda0,faa13947,faf00ab8
42fd9c7f,0,7,3,6,4,7,7,3,5,3,2,2,9,2,2,4,1,4,4,4,2,6,3,2,3,2,4,5,3,3,2,2,2,1,1,3,1,5,2,3,1,4,4,2,5,1,1,1,4,2,3,1,3,4,2,2,3,2,3,0,5,1,1,5,0,2,3,8,2,1,2,5,3,3,1,3,2,1,4,1,2,2,2,1,4,6,5,1,1,3,3,1,6,1,3,1,3,2,2,7,1,2,2,3,2,6,1,1,2,4,1,0,3,4,1,1,1,0,7,6,1,2,2,2,0,4,1,6,2,2,2,3,2,4,6,2,2,1,1,0,3,2,2,1,0,4,1,2,0,5,1,1,1,5,4,3,1,5,1,1,3,2,1,1,3,2,2,0,2,0,2,0,3,1,2,0,1,2,1,2,0,2,2,2,3,0,0,0,3,2,2,2,3,4,1,2,2,2,2,4,3,4,4,3,1,0,2,0,3,1,2,1,1,5,0,2,0,3,4,5,1,0,1,2,2,1,1,2,1,2,1,0,5,3,3,1,2,0,0,5,1,3,4,2,3,0,0,1,1,0,1,0,3,2,2,4,1,3,0,1,1,2,3,0,4,0,0,2,2,1,1,1,0,3,0,1,1,4,1,0,1,2,1,1,3,3,0,1,0,3,0,3,1,2,1,1,0,1,4,0,1,1,1,1,2,0,0,1,1,3,2,2,1,0,4,2,4,1,4,1,3,5,4,1,3,1,1,2,0,2,1,1,1,1,1,1,2,1,1,1,4,0,2,1,3,5,2,0,1,1,3,2,1,1,1,1,0,0,2,1,0,3,4,1,0,1,0,2,0,1,0,0,1,0,2,1,3,0,1,2,2,0,3,3,0,2,1,0,1,0,5,0,1,1,2,2,1,3,0,2,2,0,0,0,4,0,3,1,0,1,1,0,1,1,1,1,3,1,0,1,3,5,1,0,0,0,2,1,1,2,4,5,1,0,0,1,1,2,1,0,1,1,0,0,2,2,2,0,2,2,2,0,1,1,2,1,1,0,0,1
e342ad68,7,0,2,5,3,6,5,2,8,2,2,1,9,2,3,3,1,3,3,3,4,6,3,2,3,2,4,6,2,6,5,2,1,1,1,3,1,4,2,3,1,5,3,1,4,1,1,1,4,2,3,1,2,5,2,1,2,1,4,1,5,1,1,4,0,2,2,7,2,1,2,4,2,4,1,3,3,1,4,2,2,1,2,2,3,4,7,1,1,4,3,2,7,0,2,2,2,2,1,6,1,1,1,5,2,7,1,1,2,2,1,0,2,6,1,1,1,0,5,5,2,2,2,2,1,3,2,4,1,2,3,5,2,3,9,1,4,1,2,1,4,2,2,1,0,6,2,2,0,3,2,1,1,5,7,3,2,4,1,0,6,2,3,1,4,3,4,0,3,0,1,2,2,2,3,0,1,3,2,1,0,1,1,2,2,0,2,0,3,0,3,1,6,5,1,2,2,1,2,7,6,1,4,2,1,0,1,1,4,1,4,0,1,5,1,2,0,3,3,5,1,0,1,2,0,0,1,1,1,3,1,1,2,3,4,1,1,0,0,6,0,2,7,2,2,1,1,2,1,1,1,1,4,2,2,2,2,3,0,1,1,2,2,1,4,0,0,1,2,0,1,0,1,4,0,1,1,2,1,1,1,2,0,1,2,1,0,1,2,4,0,2,1,1,3,0,0,1,4,0,2,0,1,1,1,1,3,0,0,1,1,2,1,2,3,2,4,0,4,1,3,2,3,1,2,2,0,2,0,1,2,2,1,1,1,1,3,1,3,1,4,0,1,1,2,6,1,1,2,1,5,2,1,1,2,2,0,0,3,1,0,3,4,2,0,0,0,2,2,0,1,0,1,0,1,2,0,0,2,1,3,1,2,2,0,1,2,1,1,0,2,0,0,1,4,1,1,3,1,1,1,1,2,0,3,0,3,1,1,2,2,0,1,1,0,1,4,0,0,1,1,3,1,1,0,0,2,1,1,2,3,5,0,0,0,0,1,1,0,0,1,0,0,1,1,2,2,1,2,2,1,0,0,1,2,2,0,0,1,1
8d78e732,3,2,0,5,7,4,2,9,2,5,6,7,3,6,0,7,6,8,2,7,2,3,5,2,5,6,5,2,4,0,1,3,5,6,7,4,7,3,5,5,3,1,1,7,3,6,4,6,3,5,5,5,2,1,3,5,2,1,0,6,2,5,5,3,1,6,2,3,5,6,5,1,2,1,6,0,2,5,4,2,7,2,6,2,6,5,3,3,5,0,6,4,1,2,8,3,4,5,1,2,7,7,2,0,2,2,2,6,6,0,2,6,5,0,7,7,4,4,2,4,0,1,1,0,2,1,3,1,4,1,2,1,2,5,1,1,0,1,1,2,0,7,4,6,4,2,2,6,0,3,2,7,3,1,1,5,2,3,5,3,0,0,2,5,1,1,2,3,2,3,4,1,3,0,2,1,2,1,4,2,2,0,5,3,3,4,1,1,4,3,2,1,1,1,1,5,1,2,4,1,2,0,0,2,4,4,0,1,1,5,0,3,6,2,2,7,5,1,0,3,1,1,6,6,1,2,4,4,1,1,5,3,1,3,0,6,0,3,2,1,2,1,1,0,0,2,1,2,5,2,4,2,1,2,2,1,1,0,5,1,5,0,5,2,0,4,4,1,5,3,4,2,3,0,3,2,2,0,0,0,6,7,1,1,5,0,4,1,2,1,2,2,3,5,0,2,3,3,0,3,2,1,5,6,1,3,1,2,0,0,1,2,4,1,2,1,0,2,1,6,0,1,5,5,1,1,1,4,3,2,1,1,1,6,5,1,0,2,1,6,2,2,1,4,0,0,3,1,1,6,1,0,4,1,1,2,1,5,2,1,1,1,0,1,4,1,2,4,3,2,2,2,5,1,2,2,1,2,3,0,5,2,0,2,3,1,3,3,0,6,0,2,3,2,0,2,1,0,2,1,1,2,2,4,3,2,2,5,3,2,2,2,5,4,1,1,2,2,4,1,1,0,0,5,4,2,1,4,1,3,1,1,2,1,3,1,1,1,2,2,3,2,4,2,0,1,3,1,1,2,2,3,2,1,0,1,2,3,3,3
21a66f6a,6,5,5,0,6,6,4,6,4,5,4,3,4,5,1,5,4,6,3,5,2,5,3,3,4,4,5,4,5,2,1,2,3,4,4,6,3,4,5,5,4,2,3,4,6,4,1,4,4,5,5,4,5,2,3,6,4,2,1,5,3,3,3,5,0,4,3,4,3,4,4,5,2,3,4,2,2,3,2,0,5,2,4,2,6,5,4,3,2,2,6,3,2,2,5,2,5,4,1,5,5,5,0,2,3,2,2,3,4,3,1,3,6,1,3,4,2,2,4,5,0,1,1,0,1,4,3,3,5,2,2,3,1,4,3,1,1,2,0,2,2,5,5,4,3,3,1,5,0,4,3,3,2,3,2,4,2,3,3,3,1,2,1,3,1,3,1,0,3,3,5,1,4,0,2,1,2,1,2,2,1,1,3,3,3,1,1,1,1,2,0,1,0,2,0,4,1,2,1,1,1,2,2,3,4,1,2,1,2,3,1,2,3,3,2,4,4,1,1,3,1,2,3,4,3,3,2,5,2,1,4,2,2,4,1,4,2,2,1,2,3,2,1,0,3,1,0,0,4,1,1,1,1,1,1,1,1,2,2,1,3,1,5,1,2,1,3,3,4,2,1,4,1,1,1,2,1,1,1,1,4,4,1,0,5,2,3,1,1,2,1,3,3,4,0,2,1,0,2,1,1,1,3,3,2,1,1,4,1,1,1,2,4,1,4,1,1,2,0,4,0,2,5,3,2,1,3,3,3,0,0,0,1,3,4,0,2,2,1,4,2,1,1,3,2,1,4,2,1,3,0,1,1,2,0,0,1,2,2,1,0,3,1,0,2,3,1,3,1,1,1,1,3,1,3,1,3,0,2,2,2,1,2,3,2,0,0,1,1,2,2,0,2,1,0,1,0,2,0,1,2,1,1,2,4,1,4,3,1,1,1,1,3,4,2,0,2,2,2,1,1,2,0,2,2,0,1,2,0,3,1,1,3,2,2,3,0,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,3,2,1,1,2,1,1,2
e7695e6c,4,3,7,6,0,6,3,7,2,7,5,5,4,8,1,7,5,6,3,8,0,3,5,3,5,5,5,2,4,1,0,3,5,6,5,6,4,2,8,6,6,0,2,7,4,6,3,6,4,7,6,6,1,0,4,5,1,2,0,5,1,5,6,4,2,6,4,2,4,8,4,4,1,2,7,1,1,5,4,2,7,2,5,1,4,4,3,2,4,0,7,5,1,4,5,4,6,6,1,2,5,6,1,2,2,1,2,6,4,0,3,6,5,0,6,5,4,4,3,2,0,2,2,1,0,2,2,1,3,1,1,1,1,6,2,2,0,0,2,3,0,7,6,6,5,2,3,6,1,2,1,6,4,2,1,6,1,2,3,4,0,1,1,5,1,2,3,3,0,5,2,0,4,1,1,0,1,1,5,1,2,0,3,1,2,4,1,3,4,2,1,0,1,0,2,6,1,2,3,1,2,0,0,3,6,2,1,0,2,5,1,2,6,1,2,6,5,1,0,3,1,1,4,6,0,5,5,5,0,1,6,4,1,3,1,7,1,2,1,2,3,0,0,0,1,1,2,1,6,2,4,2,1,1,3,2,3,1,5,2,5,0,5,2,0,4,5,0,5,1,3,2,2,1,4,2,3,0,1,3,4,6,2,1,4,0,5,0,1,1,4,1,2,4,0,1,3,2,0,1,2,2,4,5,1,2,0,2,1,0,1,2,5,0,2,2,0,1,2,6,0,1,4,5,0,3,1,5,5,2,0,1,2,6,6,1,1,1,1,7,3,1,1,4,1,0,4,1,2,5,2,0,3,0,1,2,1,5,2,2,2,0,0,2,2,2,3,4,1,3,2,1,5,2,3,2,0,2,5,1,4,2,0,0,2,1,2,2,1,3,0,3,2,2,0,2,1,0,3,1,1,0,2,5,2,1,3,4,1,2,1,3,6,5,4,1,2,1,3,3,1,0,0,5,3,2,2,4,1,2,1,0,2,1,2,1,1,2,3,2,3,0,3,0,2,1,2,1,2,2,1,1,4,1,1,2,0,1,1,1
8e92be30,7,6,4,6,6,0,7,4,4,4,3,3,6,3,4,5,3,5,7,5,2,6,5,2,5,3,6,3,4,5,3,4,3,2,2,6,3,4,3,4,3,4,5,4,5,2,2,2,7,3,4,2,5,1,4,4,4,3,3,1,2,2,2,8,1,4,4,5,3,3,2,6,4,5,2,4,1,2,4,3,3,2,3,2,5,6,5,3,2,4,4,3,3,4,4,4,5,3,2,6,2,3,2,5,3,3,2,2,4,4,2,1,4,2,2,2,1,1,4,4,3,5,5,2,0,5,2,3,2,3,2,3,3,6,5,4,3,2,3,1,4,3,3,2,1,4,4,3,0,2,1,2,3,6,4,5,3,4,3,1,3,4,0,2,2,4,4,1,3,1,3,1,4,2,3,1,2,1,4,2,2,3,2,3,3,0,2,1,3,1,1,3,2,1,2,3,3,1,2,3,3,2,3,3,2,0,2,2,2,2,4,3,2,2,0,3,1,3,2,4,2,0,2,3,2,2,3,2,1,3,2,2,2,5,4,2,2,0,1,4,2,1,3,2,4,1,2,1,2,2,2,2,3,3,3,3,2,5,1,2,2,3,4,3,3,0,1,2,3,1,1,1,2,4,0,3,3,1,1,1,2,3,1,2,4,2,1,0,2,2,1,1,2,2,2,2,0,2,4,1,2,1,2,2,2,1,1,1,1,2,2,3,2,1,6,1,2,2,2,2,1,2,4,1,3,2,1,4,1,2,1,3,2,2,2,2,3,2,2,2,5,0,2,2,5,2,2,0,1,2,3,2,3,2,2,2,2,1,3,1,0,2,2,2,0,2,0,3,0,1,1,1,2,0,2,2,2,1,5,2,5,2,4,2,0,2,3,1,1,0,2,1,1,1,2,4,1,4,1,3,2,0,2,0,3,1,3,2,1,1,1,1,2,2,2,1,5,2,0,2,2,2,2,2,1,1,5,1,2,3,2,2,1,0,0,1,2,4,1,1,1,1,0,1,3,3,3,0,5,3,2,0,2,3,5,1,1,0,1,2
0e0102eb,7,5,2,4,3,7,0,2,3,3,1,2,7,2,4,3,2,2,5,4,2,7,4,2,3,2,3,3,3,6,5,5,2,1,1,4,2,2,2,1,1,5,5,2,5,1,1,1,6,2,3,0,3,4,2,1,4,4,4,0,3,1,2,5,2,2,3,6,2,0,2,6,4,5,1,4,3,1,3,3,1,2,3,2,3,6,4,1,2,4,2,1,4,2,2,2,3,2,3,5,1,2,3,3,2,4,3,1,2,5,3,0,3,4,1,1,2,0,5,6,3,4,4,2,1,4,2,5,4,4,3,4,3,3,5,4,3,2,1,0,5,1,2,1,0,2,2,1,0,3,2,0,2,3,5,3,3,3,1,1,3,3,2,1,2,2,2,2,4,0,2,0,2,1,2,2,3,1,1,2,2,4,1,4,3,1,0,2,2,3,1,4,2,3,2,1,2,2,2,2,2,3,3,3,1,0,2,2,3,1,2,3,1,3,1,1,0,3,5,3,2,0,1,1,2,1,1,0,1,5,1,0,4,4,3,1,2,0,1,2,1,4,3,5,4,0,1,1,1,0,3,0,3,4,3,3,1,3,0,2,1,2,3,1,3,1,0,1,2,1,2,1,2,3,1,1,3,3,2,0,1,1,1,3,2,3,0,0,1,3,1,2,1,0,1,1,0,3,4,2,0,1,1,1,2,0,2,2,1,4,2,2,1,1,4,1,5,1,2,1,5,4,3,1,3,1,1,1,0,4,2,3,1,1,1,2,3,1,2,1,4,0,3,1,5,4,1,0,1,1,1,2,2,2,1,1,1,0,4,1,0,2,5,1,0,2,0,2,1,1,0,2,1,0,3,1,4,2,2,2,3,0,3,2,0,5,3,0,2,0,4,2,2,1,1,3,1,4,0,4,3,0,0,0,3,1,2,1,0,0,0,1,1,1,1,1,6,1,0,1,4,4,2,0,0,2,3,1,2,3,5,4,1,0,0,1,3,3,2,0,1,1,0,0,4,2,4,0,4,2,2,0,1,1,3,1,1,0,0,1
1f44ac21,3,2,9,6,7,4,2,0,2,7,7,8,3,6,0,8,6,9,3,7,2,2,4,2,5,8,5,2,6,0,1,2,6,8,6,5,6,3,5,6,5,1,1,6,4,6,3,8,3,7,7,7,2,1,4,7,3,1,0,6,2,6,4,3,2,6,2,3,6,6,3,2,3,1,6,0,2,6,2,1,9,1,6,1,6,4,3,4,4,0,7,5,1,1,8,4,3,5,2,2,9,9,3,0,3,2,2,5,7,0,3,6,7,0,6,6,3,5,2,4,1,0,0,1,1,1,3,1,5,2,1,1,1,6,1,0,0,1,0,2,0,7,5,6,6,2,3,8,1,3,3,5,4,1,1,5,3,2,6,3,0,0,1,6,2,1,1,2,2,5,4,1,3,0,2,1,2,1,3,1,1,0,5,3,3,3,2,3,3,2,0,2,0,1,0,6,0,3,2,1,1,1,0,2,6,4,1,1,2,6,0,2,5,2,2,5,5,0,1,4,1,2,6,7,1,2,3,6,1,1,7,4,0,2,0,6,2,3,1,1,2,1,1,1,0,1,2,0,7,1,3,1,1,2,1,0,1,0,4,3,6,0,5,1,0,3,4,1,7,2,3,3,2,0,2,1,2,1,1,2,7,6,0,2,6,1,6,1,1,2,2,3,2,5,0,1,4,2,0,3,1,0,5,6,1,1,1,3,1,1,0,1,6,1,3,1,0,1,0,6,0,0,4,5,0,1,2,3,5,1,0,2,2,5,7,0,0,1,1,6,1,1,2,4,0,0,5,2,1,5,0,0,3,2,0,0,1,4,1,1,2,1,0,0,5,3,2,6,1,1,1,1,4,1,2,1,1,3,4,2,4,1,1,3,5,1,2,1,1,4,1,1,2,1,0,0,2,0,0,0,2,1,1,4,2,1,3,6,2,1,1,3,4,6,1,0,1,1,3,1,2,0,1,4,4,3,0,4,0,2,0,1,2,2,3,3,0,0,1,1,3,1,4,2,1,1,4,2,0,1,0,1,2,2,0,1,3,2,2,2
58eee997,5,8,2,4,2,4,3,2,0,1,2,0,7,1,4,2,1,3,3,1,6,5,2,3,2,1,3,8,1,6,6,4,0,0,2,3,1,6,1,2,2,5,3,1,2,0,2,0,3,1,1,1,4,6,1,3,2,1,4,2,7,0,0,3,1,1,0,5,0,3,2,2,2,4,0,3,5,0,3,2,1,3,2,5,3,2,8,4,1,3,2,2,7,2,4,1,1,0,1,4,1,1,0,5,4,7,2,0,2,2,2,2,2,6,0,1,0,1,5,5,2,2,2,2,2,4,4,3,1,1,5,6,1,2,7,1,4,2,2,3,4,1,1,0,2,6,2,1,0,5,4,2,0,5,5,1,2,4,3,0,5,2,5,0,2,4,2,1,4,1,3,4,3,1,4,2,3,5,3,1,1,1,1,2,2,1,4,0,2,1,3,1,6,6,1,1,1,1,1,7,6,1,3,1,0,0,1,3,3,1,3,2,0,7,2,1,2,3,3,3,2,1,0,1,1,1,2,2,2,3,0,2,2,4,4,0,0,1,2,6,2,4,7,1,2,3,2,2,1,3,0,3,4,1,0,1,1,2,1,1,0,2,0,2,4,1,1,2,0,1,1,1,3,4,1,2,0,2,0,1,1,1,0,0,2,0,1,3,3,4,0,2,3,2,2,2,0,1,4,1,3,0,0,0,0,2,4,2,1,1,0,4,0,4,1,2,4,2,4,0,2,1,1,0,1,1,1,3,1,1,1,1,1,0,0,1,3,2,5,0,2,1,0,2,2,6,1,3,2,0,5,1,1,3,1,1,1,0,3,0,0,4,4,2,1,2,0,0,3,1,2,1,0,0,1,3,2,0,1,0,1,2,1,4,1,1,2,2,1,1,2,1,1,2,3,0,1,2,1,0,0,2,4,0,3,1,3,0,2,4,3,1,0,0,1,0,2,1,1,0,1,3,0,2,1,1,1,1,0,2,2,5,1,2,1,1,0,0,0,1,1,2,1,2,0,1,0,2,1,1,0,1,0,2,1,1,1,1,2,2
5d4f7d61,3,2,5,5,7,4,3,7,1,0,5,7,3,8,2,7,4,5,5,8,0,2,5,3,4,7,3,1,6,1,0,2,9,8,4,5,4,0,7,5,6,1,1,5,3,6,2,8,5,9,8,5,2,0,5,4,2,2,0,5,0,7,4,2,3,3,2,1,6,4,4,3,2,1,6,1,3,5,2,0,7,1,5,0,2,3,2,3,3,0,5,6,0,2,4,4,4,5,1,1,7,8,2,1,2,0,1,6,4,0,5,5,4,0,6,4,6,6,1,1,1,0,0,2,0,1,2,1,3,2,0,1,0,5,3,0,0,0,0,1,0,5,5,4,5,2,2,6,3,0,1,4,4,0,1,3,3,0,2,5,0,2,0,7,2,2,2,3,0,5,2,0,2,1,0,0,0,0,2,1,0,0,3,1,2,3,1,3,0,0,0,3,0,0,0,5,0,2,1,0,0,1,1,1,7,4,2,0,2,6,0,0,5,0,1,3,4,0,1,2,0,1,6,6,0,3,2,4,0,0,8,4,0,2,1,7,2,2,0,0,1,0,0,1,1,0,2,0,7,0,3,0,1,1,1,0,1,1,4,2,6,0,6,0,0,4,7,0,6,1,2,2,0,0,2,0,1,1,1,3,5,4,1,2,3,2,6,0,0,1,2,2,1,3,0,0,4,1,0,1,0,1,4,6,1,0,0,2,2,1,0,0,5,0,3,1,0,0,0,5,0,0,3,4,0,2,1,2,6,0,0,1,2,5,7,0,1,0,0,6,1,0,1,4,0,0,4,1,1,5,0,0,2,1,0,0,0,4,1,1,2,0,0,0,3,2,4,5,0,1,0,0,6,2,2,0,0,3,4,2,3,0,1,1,3,0,1,0,1,2,1,1,0,0,0,0,1,0,1,0,2,0,0,4,1,0,2,5,1,0,0,2,4,5,2,0,1,0,1,1,1,0,1,4,3,3,0,3,0,1,0,0,1,1,2,2,0,0,1,0,3,0,2,1,1,1,3,1,0,0,0,0,2,1,0,1,2,1,1,1
