Player1,Player2,Player1_ID,Player2_ID,Co-Occurrence
Dominic Calvert-Lewin,Bertuğ Yıldırım,59e6e5bf,7410d325,11
Jean-Philippe Mateta,Artem Dovbyk,50e6dc35,5b847bb0,11
Leroy Sané,Kingsley Coman,2b114be3,042e8a49,11
Patrick Dorgu,Pep Chavarría,e6536124,63c5e56b,10
Jean-Philippe Mateta,Borja Mayoral,50e6dc35,64e8ed6d,10
Esteban Lepaul,Dominic Solanke,85ce1949,e77dc3b2,10
Lorenzo Lucca,Lucas Stassin,83c06f3a,a47d6f3a,10
Esteban Lepaul,Casper Tengstedt,85ce1949,ff2fb007,10
Artem Dovbyk,Borja Mayoral,5b847bb0,64e8ed6d,10
Raúl Moro,Oladapo Afolayan,919dd4b1,5054c359,10
Hugo Duro,Borja Mayoral,37e103f8,64e8ed6d,10
Pablo Fornals,Bilal El Khannouss,82927de4,f7042636,10
Chris Wood,Anastasios Douvikas,4e9a0555,853ca71c,10
M'Bala Nzola,Frank Magri,a4948e67,42fdb11d,10
Keane Lewis-Potter,Alejandro Jiménez,41f08ac8,faa13947,10
Keane Lewis-Potter,Marvin,41f08ac8,efaefda0,10
Keane Lewis-Potter,Lilian Raolisoa,41f08ac8,79a793b7,10
Benedict Hollerbach,Tiago Tomás,2a158218,b492126a,10
Hugo Duro,Borja Iglesias,37e103f8,75645f0e,10
Cyle Larin,Frank Magri,e7af9060,42fdb11d,10
Jean-Philippe Mateta,Lorenzo Lucca,50e6dc35,83c06f3a,10
Akor Adams,Diego,2ccd39ed,b85a5126,10
Thijs Dallinga,Junior Adamu,b70afb45,82e12fe7,10
Thijs Dallinga,Marshall Munetsi,b70afb45,2acf0cd7,10
Lorenzo Lucca,Borja Mayoral,83c06f3a,64e8ed6d,10
Tete Morente,Jeong Woo-yeong,004d185e,6190474d,10
Joshua King,Eddie Nketiah,43458538,a53649b7,10
Tete Morente,Carles Aleñá,004d185e,6c811eb7,10
Morgan Rogers,Leandro Trossard,2e5915f1,38ceb24a,10
Juanmi Latasa,Dominic Calvert-Lewin,2bea832e,59e6e5bf,10
Juanmi Latasa,Bertuğ Yıldırım,2bea832e,7410d325,10
Juanmi Latasa,Jordan Pefok,2bea832e,b684a484,10
Sergi Darder,Valentino Lazaro,070a3904,016ff750,10
Patrick Dorgu,Marvin,e6536124,efaefda0,10
Patrick Dorgu,Loïc Nego,e6536124,c3b6fa1e,10
Tete Morente,John McGinn,004d185e,90f91999,10
Mostafa Mohamed,Toni Martínez,595e6f3e,f3945e07,10
Adri Embarba,Jesper Lindstrøm,db8f0eba,37dc1a48,10
Keito Nakamura,Marco Grüll,d97af612,8babb812,10
Yann Gboho,Jesus Rodríguez,6be41a31,f9f74e43,10
Roberto Navarro,Jack Clarke,c997b942,e16932d8,10
Roberto Navarro,Joe Willock,c997b942,a3b03921,10
Roberto Férnandez,Borja Mayoral,c981fc98,64e8ed6d,10
Roberto Navarro,Eren Dinkçi,c997b942,4ccd8957,10
Artem Dovbyk,Lorenzo Lucca,5b847bb0,83c06f3a,10
Callum Hudson-Odoi,Pedro Neto,15f3ec41,7ba2eaa9,10
Hugo Duro,Esteban Lepaul,37e103f8,85ce1949,10
Chris Wood,Jørgen Strand Larsen,4e9a0555,f553b2b3,10
Joshua King,Darwin Núñez,43458538,4d77b365,10
Bernardo Silva,Mario Götze,3eb22ec9,9efa1d25,10
Hugo Duro,Phil Harres,37e103f8,07db670d,10
Alejandro Jiménez,Khalil Fayad,faa13947,faf00ab8,10
Pep Chavarría,Marvin,63c5e56b,efaefda0,10
Hugo Duro,Cyle Larin,37e103f8,e7af9060,10
Chris Wood,Lorenzo Lucca,4e9a0555,83c06f3a,10
Beto,Paul Onuachu,ed5c0319,c06d1086,10
Sofiane Diop,Mikkel Damsgaard,19053e31,215f3907,9
Anthony Elanga,Álex Berenguer,2fba6108,dc1c2fce,9
Joel Pohjanpalo,Rasmus Højlund,ea003d07,491a433d,9
Joel Pohjanpalo,Mamadou Sylla,ea003d07,e5ec95f8,9
Artem Dovbyk,Lucas Stassin,5b847bb0,a47d6f3a,9
Joel Pohjanpalo,Frank Magri,ea003d07,42fdb11d,9
Artem Dovbyk,Hugo Duro,5b847bb0,37e103f8,9
Artem Dovbyk,Evanilson,5b847bb0,6f3cc2fe,9
Beto,Daniel Mosquera,ed5c0319,091b9eb8,9
Beto,Phillip Tietz,ed5c0319,3397e7b5,9
Lorenzo Lucca,Roberto Férnandez,83c06f3a,c981fc98,9
Kiké,Anastasios Douvikas,e897d8ba,853ca71c,9
Lorenzo Lucca,Anastasios Douvikas,83c06f3a,853ca71c,9
Kiké,Borja Mayoral,e897d8ba,64e8ed6d,9
Jacob Murphy,Robin Hack,de112b84,0174ba21,9
Lucas Stassin,Borja Iglesias,a47d6f3a,75645f0e,9
Kiké,Phillip Tietz,e897d8ba,3397e7b5,9
Diogo Jota,Eddie Nketiah,178ae8f8,a53649b7,9
Ange-Yoan Bonny,Cameron Archer,64629ba4,05e8ca6d,9
Jorge de Frutos,Mama Samba Baldé,38ce1150,fb14aa28,9
Lee Kang-in,Hákon Arnar Haraldsson,8455ad90,e2ae54db,9
Artem Dovbyk,Roberto Férnandez,5b847bb0,c981fc98,9
Rodrygo,Bukayo Saka,8f5e92a6,bc7dc64d,9
Rodrygo,Fermin López,8f5e92a6,c1fe5f0b,9
Rodrygo,Maghnes Akliouche,8f5e92a6,b625b241,9
Artem Dovbyk,Cyle Larin,5b847bb0,e7af9060,9
Bukayo Saka,Fermin López,bc7dc64d,c1fe5f0b,9
Kiké,Boulaye Dia,e897d8ba,244bc2c8,9
Artem Dovbyk,Dominic Solanke,5b847bb0,e77dc3b2,9
Kiké,Esteban Lepaul,e897d8ba,85ce1949,9
Artem Dovbyk,Jamie Vardy,5b847bb0,45963054,9
Beto,Anastasios Douvikas,ed5c0319,853ca71c,9
Cyle Larin,Rasmus Højlund,e7af9060,491a433d,9
Abdallah Sima,Jens Odgaard,fdbde523,75374ee7,9
Artem Dovbyk,Anastasios Douvikas,5b847bb0,853ca71c,9
Lorenzo Lucca,Hugo Duro,83c06f3a,37e103f8,9
Daniel Mosquera,Paul Onuachu,091b9eb8,c06d1086,9
Lorenzo Colombo,Amin Sarr,04df29a5,d5326924,9
Lorenzo Colombo,Randy Nteka,04df29a5,a6103274,9
Diogo Jota,Darwin Núñez,178ae8f8,4d77b365,9
Joel Pohjanpalo,Alejo Véliz,ea003d07,3f7bafbe,9
Joel Pohjanpalo,Diego,ea003d07,b85a5126,9
Joel Pohjanpalo,Thijs Dallinga,ea003d07,b70afb45,9
Joel Pohjanpalo,Akor Adams,ea003d07,2ccd39ed,9
Joel Pohjanpalo,Isaac Romero,ea003d07,be719093,9
Cyle Larin,Anastasios Douvikas,e7af9060,853ca71c,9
John McGinn,Carles Aleñá,90f91999,6c811eb7,9
Serhou Guirassy,Alexander Sørloth,923f4dda,e92cd3f7,9
Ante Budimir,Alexander Sørloth,8f3565b3,e92cd3f7,9
Bertuğ Yıldırım,Jordan Pefok,7410d325,b684a484,9
Hugo Duro,Roberto Férnandez,37e103f8,c981fc98,9
