league,season,name,club_id,minutes
ENG-Premier League,2014,Jason Shackell,1132,3346
ESP-La Liga,2016,Mario,1050,3240
FRA-Ligue 1,2017,Kelvin Adou,415,3155
ITA-Serie A,2022,Franck Zambo,6195,3077
ESP-La Liga,2023,Sávio,12321,3062
ESP-La Liga,2018,José Ángel,1533,3040
ESP-La Liga,2020,Bono,368,2970
ENG-Premier League,2016,José Holebas,1010,2917
ESP-La Liga,2017,Amath Diedhiou,3709,2904
FRA-Ligue 1,2018,Kelvin Adou,415,2880
ESP-La Liga,2018,Bono,12321,2864
ITA-Serie A,2024,Franck Zambo,6195,2862
ITA-Serie A,2023,Berat Gjimshiti,800,2829
ESP-La Liga,2017,Mario,1050,2804
ITA-Serie A,2019,Berat Gjimshiti,800,2800
ITA-Serie A,2023,Franck Zambo,6195,2793
ESP-La Liga,2021,Bono,368,2790
ESP-La Liga,2025,Adrián De la Fuente,3368,2704
ITA-Serie A,2017,Berat Gjimshiti,4171,2700
ESP-La Liga,2017,Bono,12321,2657
ITA-Serie A,2021,Kelvin Adou,3522,2656
ITA-Serie A,2024,Berat Gjimshiti,800,2653
ITA-Serie A,2020,Berat Gjimshiti,800,2623
ESP-La Liga,2019,Franck Zambo,1050,2582
ENG-Premier League,2020,Franck Zambo,931,2582
ITA-Serie A,2025,Berat Gjimshiti,800,2522
ESP-La Liga,2017,José Ángel,1533,2438
FRA-Ligue 1,2017,Franck Zambo,244,2429
ENG-Premier League,2018,José Holebas,1010,2395
ENG-Premier League,2017,José Holebas,1010,2385
ITA-Serie A,2022,Kelvin Adou,3522,2374
ESP-La Liga,2019,José Ángel,1533,2362
ESP-La Liga,2025,Álvaro Fernández,418,2334
ITA-Serie A,2021,Berat Gjimshiti,800,2250
FRA-Ligue 1,2024,Kelvin Adou,995,2159
ESP-La Liga,2022,Bono,368,2155
ITA-Serie A,2014,José Holebas,12,2054
ESP-La Liga,2016,Manu García,1108,2017
ESP-La Liga,2023,Samu Omorodion,1108,2014
FRA-Ligue 1,2025,Kelvin Adou,995,1964
FRA-Ligue 1,2016,Franck Zambo,244,1947
ITA-Serie A,2021,Franck Zambo,6195,1915
ENG-Premier League,2014,Michael Duff,1132,1812
ITA-Serie A,2018,Berat Gjimshiti,800,1804
ENG-Premier League,2024,Sávio,281,1801
ITA-Serie A,2022,Berat Gjimshiti,800,1791
FRA-Ligue 1,2016,Kelvin Adou,415,1774
ENG-Premier League,2014,Yun Suk-Young,1039,1721
ESP-La Liga,2024,Adrià Alti,1244,1645
GER-Bundesliga,2019,Joao Victor,82,1637
FRA-Ligue 1,2019,Kelvin Adou,415,1625
FRA-Ligue 1,2021,Zaydou Youssef,618,1566
ENG-Premier League,2018,Franck Zambo,931,1515
ESP-La Liga,2014,Gurpegi,621,1426
ESP-La Liga,2022,Nianzou Kouassi,368,1370
ESP-La Liga,2025,Youssef Lekhedim,1108,1332
ESP-La Liga,2019,Jaume,1049,1324
GER-Bundesliga,2025,Jean Négoce,24,1322
ESP-La Liga,2019,Raúl García,3709,1265
FRA-Ligue 1,2025,Dehmaine Assoumani,995,1261
ITA-Serie A,2025,Franck Zambo,6195,1253
FRA-Ligue 1,2020,Zaydou Youssef,618,1219
ESP-La Liga,2024,Marcos de Sousa,366,1213
ESP-La Liga,2014,Coro,1531,1201
ESP-La Liga,2022,Amath Diedhiou,237,1199
ESP-La Liga,2016,Alberto,1244,1192
ESP-La Liga,2020,Marcos de Sousa,366,1159
ESP-La Liga,2014,Elustondo,681,1152
ESP-La Liga,2015,Gurpegi,621,1142
ESP-La Liga,2014,Borja,1533,1127
ESP-La Liga,2021,José Ángel,331,1085
ESP-La Liga,2023,Carlos Benavídez,1108,1084
FRA-Ligue 1,2019,Zaydou Youssef,618,1063
FRA-Ligue 1,2019,Adama Traoré,347,1042
ENG-Premier League,2019,José Holebas,1010,1019
ESP-La Liga,2018,Amath Diedhiou,3709,1015
GER-Bundesliga,2019,Kasim Nuhu,38,995
GER-Bundesliga,2020,Kasim Nuhu,533,986
ESP-La Liga,2014,Nikos Karámpelas,3368,948
ENG-Premier League,2015,José Holebas,1010,948
ESP-La Liga,2021,Marcos de Sousa,1049,933
GER-Bundesliga,2024,Jean Négoce,24,921
GER-Bundesliga,2018,Kasim Nuhu,533,919
ESP-La Liga,2020,Alejandro Gomez,368,916
ESP-La Liga,2020,José Ángel,1533,906
ESP-La Liga,2021,Amath Diedhiou,237,881
ESP-La Liga,2016,Reyes,714,868
FRA-Ligue 1,2025,Kevin Omoruyi,417,864
FRA-Ligue 1,2024,Koka,738,863
ESP-La Liga,2020,Alberto Rodríguez,1108,851
FRA-Ligue 1,2023,Kelvin Adou,995,813
ESP-La Liga,2023,Adrià Alti,1050,792
ENG-Premier League,2025,Sávio,281,792
ESP-La Liga,2015,Adrián,1050,785
ESP-La Liga,2014,Míchel,3709,777
ESP-La Liga,2016,Moyá,13,770
ESP-La Liga,2025,Nianzou Kouassi,368,670
ESP-La Liga,2016,José Ángel,1050,630
GER-Bundesliga,2021,Nianzou Kouassi,27,569
ENG-Premier League,2019,Matthew Longstaff,762,564
ESP-La Liga,2018,Miguelón,1050,544
FRA-Ligue 1,2023,Kévin Biakolo,415,541
FRA-Ligue 1,2025,Marius Louãr,1420,535
FRA-Ligue 1,2024,John Finn,1421,525
ESP-La Liga,2024,Nianzou Kouassi,368,524
FRA-Ligue 1,2018,Serigne Modou Kara Mbodji,995,511
ESP-La Liga,2019,Bono,368,494
ESP-La Liga,2014,Sergio Marcos,1050,482
ESP-La Liga,2024,Carlos Benavídez,1108,456
FRA-Ligue 1,2019,Nianzou Kouassi,583,454
GER-Bundesliga,2020,Joao Victor,82,442
FRA-Ligue 1,2018,Zaydou Youssef,40,439
GER-Bundesliga,2014,Adam Matuschyk,3,431
ESP-La Liga,2022,Marcos de Sousa,1049,416
ESP-La Liga,2020,Álvaro,2687,393
ENG-Premier League,2020,Matthew Longstaff,762,376
ESP-La Liga,2021,Alex Petxarromán,621,369
ESP-La Liga,2024,Amath Diedhiou,366,366
ESP-La Liga,2023,Amath Diedhiou,237,362
ESP-La Liga,2014,Jona,3709,360
ESP-La Liga,2017,Hernán,472,350
FRA-Ligue 1,2022,Kévin Biakolo,415,347
ESP-La Liga,2025,Carlos Benavídez,1108,311
ESP-La Liga,2023,Nianzou Kouassi,368,309
FRA-Ligue 1,2015,Franck Zambo,244,279
ESP-La Liga,2025,Yago Alonso,1531,275
ENG-Premier League,2014,Marvin Sordell,1132,271
ITA-Serie A,2015,Berat Gjimshiti,800,270
FRA-Ligue 1,2022,Jean Négoce,1420,254
ESP-La Liga,2023,Malcom Adu,621,238
ESP-La Liga,2015,Miguel Ángel,3709,202
FRA-Ligue 1,2019,Percy Ruiz,995,182
ESP-La Liga,2025,Pablo Cuñat,3368,180
