provider,competition_id,team_name,club_id
understat,ES1,Athletic Club,621
understat,L1,Borussia M.Gladbach,18
understat,L1,FC Cologne,3
understat,L1,FC Heidenheim,2036
understat,L1,Greuther Fuerth,65
understat,L1,Hertha Berlin,44
understat,L1,Nuernberg,4
understat,L1,RasenBallsport Leipzig,23826
understat,FR1,Brest,3911
understat,FR1,Evian Thonon Gaillard,14171
understat,FR1,Rennes,273
fotmob,BE1,RWDM,54189
fotmob,ES1,Athletic Club,621
fotmob,IT1,Internazionale,46
fotmob,L1,Bayern München,27
fotmob,L1,Sport-Club Freiburg,60
sofascore,A1,FK Austria Wien,14
sofascore,A1,SCR Altach,3551
sofascore,A1,SK Rapid Wien,170
sofascore,A1,SK Sturm Graz,122
sofascore,BE1,K. Beerschot V.A.,41274
sofascore,BE1,KSC Lokeren Oost-Vlaanderen,498
sofascore,BE1,Koninklijke Lierse Sportkring,204
sofascore,BE1,RWDM Brussels,54189
sofascore,BRA1,Athletico,679
sofascore,BRA1,Mirassol,3876
sofascore,DK1,AGF,678
sofascore,DK1,AaB,1053
sofascore,DK1,FC København,190
sofascore,ES1,Athletic Club,621
sofascore,FR1,Olympique Lyonnais,1041
sofascore,FR1,Stade Malherbe Caen,1162
sofascore,IT1,AS Roma,12
sofascore,L1,1. FC Heidenheim,2036
sofascore,L1,1. FC Nürnberg,4
sofascore,L1,Borussia M'gladbach,18
sofascore,L1,FC Bayern München,27
sofascore,NL1,AFC Ajax,610
sofascore,NL1,Fortuna Sittard,385
sofascore,PO1,CD Aves,3336
sofascore,PO1,Sporting Braga,1075
sofascore,TR1,Beşiktaş JK,114
sofascore,TR1,Mersin İdman Yurdu,3216
fotmob,L1,1. FC Nürnberg,4
clubelo,GB1,Man City,281
clubelo,GB1,Man United,985
clubelo,GB1,QPR,1039
clubelo,GB1,West Brom,984
clubelo,GB1,Wolves,543
clubelo,ES1,Depor,897
clubelo,L1,Koeln,3
clubelo,L1,Nuernberg,4
clubelo,L1,Gladbach,18
clubelo,L1,Duesseldorf,38
clubelo,L1,Hamburg,41
clubelo,L1,Fuerth,65
clubelo,FR1,Gazelec,3558
clubelo,FR1,Paris SG,583
clubelo,FR1,Brest,3911
clubelo,FR1,Rennes,273
clubelo,FR1,Evian TG,14171
clubelo,BE1,St Truiden,475
clubelo,BE1,St Gillis,3948
clubelo,NL1,Sittard,385
clubelo,PO1,U Madeira,976
clubelo,TR1,Akhisar,19771
clubelo,TR1,Bueyueksehir,6890
clubelo,TR1,Erzurum BB,39722
clubelo,TR1,Karabuekspor,1506
clubelo,TR1,Ankaraguecue,868
clubelo,TR1,Mersin Idman,3216
clubelo,C1,StGallen,257
clubelo,C1,Zuerich,260
clubelo,C1,Grasshoppers,504
clubelo,A1,Austria Wien,14
clubelo,A1,BW Linz,2157
clubelo,A1,GAK,316
clubelo,A1,Rapid Wien,170
clubelo,A1,Wattens,2446
clubelo,A1,Wolfsberg,4441
clubelo,DK1,FC Kobenhavn,190
clubelo,IT1,Verona,276
clubelo,BE1,Brugge,2282
clubelo,TR1,Kayseri,3205
understat,IT1,Verona,276
fotmob,IT1,Verona,276
